AC ID,Module,FR/BR,Primary owner,Related FR,Owner evidence,Scenario,Priority,Test type,Source,Gherkin
AC-786,MOD-012,FR-121,FR-121,FR-121,Direct existing FR relation.,[Trashed (Stage 3.5 State Matrix)/Stable-error-specific recovery (Stage 3.5 error/UI rule)] Idempotency: повтор с тем же key/hash не создаёт двойной side effect,Critical,Integration,OpenAPI `POST_api_v1_companies_id_restore`; Stage_3_Field_Traceability_Final_3.5.csv,"Given первая команда `POST_api_v1_companies_id_restore` уже принята с idempotency key и payload hash
When клиент безопасно повторяет тот же key и payload
Then сервер возвращает тот же бизнес-результат без второго side effect
And другой payload с тем же key отклоняется как IDEMPOTENCY_KEY_REUSED"
AC-787,MOD-012,FR-121,FR-121,FR-121,Direct existing FR relation.,[Trashed (Stage 3.5 State Matrix)] Удалённый объект: команда не применяется к trashed target и не создаёт новый объект,High,Lifecycle/integration,OpenAPI `POST_api_v1_companies_id_restore`; Stage_3_Field_Traceability_Final_3.5.csv,"Given target object был перемещён в Trash или удалён после загрузки
When выполняется `POST /api/v1/companies/{id}/restore`
Then сервер возвращает OBJECT_DELETED/OBJECT_NOT_VISIBLE согласно текущим правам
And клиент не восстанавливает optimistic state и предлагает только разрешённый restore/open Trash"
AC-788,MOD-012,FR-122,FR-122,FR-122,Direct existing FR relation.,[Archived (Stage 3.5 State Matrix)] Happy path: Вернуть контрагента из архива,Critical,Contract/integration,OpenAPI `POST_api_v1_companies_id_unarchive`; Stage_3_Field_Traceability_Final_3.5.csv,"Given пользователь имеет `Contact.Update` и выполнены предусловия
When клиент отправляет `POST /api/v1/companies/{id}/unarchive` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-789,MOD-012,FR-122,FR-122,FR-122,Direct existing FR relation.,[Forbidden (Stage 3.5 State Matrix)/ObjectUnavailable (Stage 3.5 State Matrix)/Archived (Stage 3.5 State Matrix)] Permission denied: Вернуть контрагента из архива не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `POST_api_v1_companies_id_unarchive`; Stage_3_Field_Traceability_Final_3.5.csv,"Given пользователь аутентифицирован, но не имеет `Contact.Update` или требуемой relation
When клиент запрашивает `POST /api/v1/companies/{id}/unarchive`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-790,MOD-012,FR-122,FR-122,FR-122,Direct existing FR relation.,[Archived (Stage 3.5 State Matrix)/Authentication/session error handling (Stage 3.5 error/UI rule)/Authentication/session error handling (Stage 3.5 error/UI rule)/Device-revocation error handling (Stage 3.5 error/UI rule)] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `POST_api_v1_companies_id_unarchive`; Stage_3_Field_Traceability_Final_3.5.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `POST /api/v1/companies/{id}/unarchive`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-791,MOD-012,FR-122,FR-122,FR-122,Direct existing FR relation.,[STATE-014/Archived (Stage 3.5 State Matrix)/STATE-025] Conflict/precondition: устаревшая или отсутствующая If-Match не приводит к overwrite,Critical,Concurrency/integration,OpenAPI `POST_api_v1_companies_id_unarchive`; Stage_3_Field_Traceability_Final_3.5.csv,"Given серверное состояние изменилось после загрузки клиентом
When клиент отправляет `POST /api/v1/companies/{id}/unarchive` с устаревшей If-Match
Then сервер отклоняет команду без overwrite
And клиент сохраняет draft и предлагает refresh/compare/reapply или безопасный повтор"
AC-792,MOD-012,FR-122,FR-122,FR-122,Direct existing FR relation.,[ServerUnavailable (Stage 3.5 State Matrix)/ServerUnavailable (cached read-only presentation) (Stage 3.5 State Matrix)/Reconnecting (Stage 3.5 State Matrix)] Server unavailable/read-only: команда Вернуть контрагента из архива не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `POST_api_v1_companies_id_unarchive`; Stage_3_Field_Traceability_Final_3.5.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Вернуть контрагента из архива»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-793,MOD-012,FR-122,FR-122,FR-122,Direct existing FR relation.,[Trashed (Stage 3.5 State Matrix)] Удалённый объект: команда не применяется к trashed target и не создаёт новый объект,High,Lifecycle/integration,OpenAPI `POST_api_v1_companies_id_unarchive`; Stage_3_Field_Traceability_Final_3.5.csv,"Given target object был перемещён в Trash или удалён после загрузки
When выполняется `POST /api/v1/companies/{id}/unarchive`
Then сервер возвращает OBJECT_DELETED/OBJECT_NOT_VISIBLE согласно текущим правам
And клиент не восстанавливает optimistic state и предлагает только разрешённый restore/open Trash"
AC-794,MOD-012,FR-123,FR-123,FR-123,Direct existing FR relation.,Happy path: Список контакт,High,Contract/integration,OpenAPI `GET_api_v1_contacts`; Stage_3_Field_Traceability_Final_3.5.csv,"Given MOD-012 и authoritative server state, actor и данные удовлетворяют предусловиям FR-123
When выполняется сценарий «Happy path: Список контакт»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-795,MOD-012,FR-123,FR-123,FR-123,Direct existing FR relation.,[Forbidden (Stage 3.5 State Matrix)/ObjectUnavailable (Stage 3.5 State Matrix)] Permission denied: Список контакт не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `GET_api_v1_contacts`; Stage_3_Field_Traceability_Final_3.5.csv,"Given пользователь аутентифицирован, но не имеет `Contact.Read` или требуемой relation
When клиент запрашивает `GET /api/v1/contacts`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-796,MOD-012,FR-123,FR-123,FR-123,Direct existing FR relation.,[Authentication/session error handling (Stage 3.5 error/UI rule)/Authentication/session error handling (Stage 3.5 error/UI rule)/Device-revocation error handling (Stage 3.5 error/UI rule)] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `GET_api_v1_contacts`; Stage_3_Field_Traceability_Final_3.5.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `GET /api/v1/contacts`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-797,MOD-012,FR-124,FR-124,FR-124,Direct existing FR relation.,Happy path: Создать контакт,Critical,Contract/integration,OpenAPI `POST_api_v1_contacts`; Stage_3_Field_Traceability_Final_3.5.csv,"Given пользователь имеет `Contact.Create` и выполнены предусловия
When клиент отправляет `POST /api/v1/contacts` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-798,MOD-012,FR-124,FR-124,FR-124,Direct existing FR relation.,[Forbidden (Stage 3.5 State Matrix)/ObjectUnavailable (Stage 3.5 State Matrix)] Permission denied: Создать контакт не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `POST_api_v1_contacts`; Stage_3_Field_Traceability_Final_3.5.csv,"Given пользователь аутентифицирован, но не имеет `Contact.Create` или требуемой relation
When клиент запрашивает `POST /api/v1/contacts`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-799,MOD-012,FR-124,FR-124,FR-124,Direct existing FR relation.,[Authentication/session error handling (Stage 3.5 error/UI rule)/Authentication/session error handling (Stage 3.5 error/UI rule)/Device-revocation error handling (Stage 3.5 error/UI rule)] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `POST_api_v1_contacts`; Stage_3_Field_Traceability_Final_3.5.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `POST /api/v1/contacts`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-800,MOD-012,FR-124,FR-124,FR-124,Direct existing FR relation.,[STATE-007] Validation: fieldErrors сохраняют draft и привязываются к canonical field path,High,Contract/UI,OpenAPI `POST_api_v1_contacts`; Stage_3_Field_Traceability_Final_3.5.csv,"Given пользователь заполнил payload для `POST_api_v1_contacts` с нарушением DTO constraint
When сервер возвращает VALIDATION_FAILED с fieldErrors
Then draft сохраняется, ошибки связываются с canonical field paths и фокус переходит к первой ошибке"
AC-801,MOD-012,FR-124,FR-124,FR-124,Direct existing FR relation.,[STATE-014/STATE-025] Conflict/precondition: устаревшая или отсутствующая контрактная версия/precondition не приводит к overwrite,Critical,Concurrency/integration,OpenAPI `POST_api_v1_contacts`; Stage_3_Field_Traceability_Final_3.5.csv,"Given серверное состояние изменилось после загрузки клиентом
When клиент отправляет `POST /api/v1/contacts` с устаревшей контрактная версия/precondition
Then сервер отклоняет команду без overwrite
And клиент сохраняет draft и предлагает refresh/compare/reapply или безопасный повтор"
AC-802,MOD-012,FR-124,FR-124,FR-124,Direct existing FR relation.,[ServerUnavailable (Stage 3.5 State Matrix)/ServerUnavailable (cached read-only presentation) (Stage 3.5 State Matrix)/Reconnecting (Stage 3.5 State Matrix)] Server unavailable/read-only: команда Создать контакт не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `POST_api_v1_contacts`; Stage_3_Field_Traceability_Final_3.5.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Создать контакт»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-803,MOD-012,FR-124,FR-124,FR-124,Direct existing FR relation.,[Stable-error-specific recovery (Stage 3.5 error/UI rule)] Idempotency: повтор с тем же key/hash не создаёт двойной side effect,Critical,Integration,OpenAPI `POST_api_v1_contacts`; Stage_3_Field_Traceability_Final_3.5.csv,"Given первая команда `POST_api_v1_contacts` уже принята с idempotency key и payload hash
When клиент безопасно повторяет тот же key и payload
Then сервер возвращает тот же бизнес-результат без второго side effect
And другой payload с тем же key отклоняется как IDEMPOTENCY_KEY_REUSED"
AC-804,MOD-012,FR-125,FR-125,FR-125,Direct existing FR relation.,Happy path: Переместить контакт в корзину,Critical,Contract/integration,OpenAPI `DELETE_api_v1_contacts_id`; Stage_3_Field_Traceability_Final_3.5.csv,"Given пользователь имеет `Contact.Delete` и выполнены предусловия
When клиент отправляет `DELETE /api/v1/contacts/{id}` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-805,MOD-012,FR-125,FR-125,FR-125,Direct existing FR relation.,[Forbidden (Stage 3.5 State Matrix)/ObjectUnavailable (Stage 3.5 State Matrix)] Permission denied: Переместить контакт в корзину не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `DELETE_api_v1_contacts_id`; Stage_3_Field_Traceability_Final_3.5.csv,"Given пользователь аутентифицирован, но не имеет `Contact.Delete` или требуемой relation
When клиент запрашивает `DELETE /api/v1/contacts/{id}`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-806,MOD-012,FR-125,FR-125,FR-125,Direct existing FR relation.,[Authentication/session error handling (Stage 3.5 error/UI rule)/Authentication/session error handling (Stage 3.5 error/UI rule)/Device-revocation error handling (Stage 3.5 error/UI rule)] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `DELETE_api_v1_contacts_id`; Stage_3_Field_Traceability_Final_3.5.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `DELETE /api/v1/contacts/{id}`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-807,MOD-012,FR-125,FR-125,FR-125,Direct existing FR relation.,[STATE-014/STATE-025] Conflict/precondition: устаревшая или отсутствующая If-Match не приводит к overwrite,Critical,Concurrency/integration,OpenAPI `DELETE_api_v1_contacts_id`; Stage_3_Field_Traceability_Final_3.5.csv,"Given серверное состояние изменилось после загрузки клиентом
When клиент отправляет `DELETE /api/v1/contacts/{id}` с устаревшей If-Match
Then сервер отклоняет команду без overwrite
And клиент сохраняет draft и предлагает refresh/compare/reapply или безопасный повтор"
AC-808,MOD-012,FR-125,FR-125,FR-125,Direct existing FR relation.,[ServerUnavailable (Stage 3.5 State Matrix)/ServerUnavailable (cached read-only presentation) (Stage 3.5 State Matrix)/Reconnecting (Stage 3.5 State Matrix)] Server unavailable/read-only: команда Переместить контакт в корзину не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `DELETE_api_v1_contacts_id`; Stage_3_Field_Traceability_Final_3.5.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Переместить контакт в корзину»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-809,MOD-012,FR-125,FR-125,FR-125,Direct existing FR relation.,[Trashed (Stage 3.5 State Matrix)] Удалённый объект: команда не применяется к trashed target и не создаёт новый объект,High,Lifecycle/integration,OpenAPI `DELETE_api_v1_contacts_id`; Stage_3_Field_Traceability_Final_3.5.csv,"Given target object был перемещён в Trash или удалён после загрузки
When выполняется `DELETE /api/v1/contacts/{id}`
Then сервер возвращает OBJECT_DELETED/OBJECT_NOT_VISIBLE согласно текущим правам
And клиент не восстанавливает optimistic state и предлагает только разрешённый restore/open Trash"
AC-810,MOD-012,FR-126,FR-126,FR-126,Direct existing FR relation.,Happy path: Получить контакт,High,Contract/integration,OpenAPI `GET_api_v1_contacts_id`; Stage_3_Field_Traceability_Final_3.5.csv,"Given MOD-012 и authoritative server state, actor и данные удовлетворяют предусловиям FR-126
When выполняется сценарий «Happy path: Получить контакт»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-811,MOD-012,FR-126,FR-126,FR-126,Direct existing FR relation.,[Forbidden (Stage 3.5 State Matrix)/ObjectUnavailable (Stage 3.5 State Matrix)] Permission denied: Получить контакт не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `GET_api_v1_contacts_id`; Stage_3_Field_Traceability_Final_3.5.csv,"Given пользователь аутентифицирован, но не имеет `Contact.Read` или требуемой relation
When клиент запрашивает `GET /api/v1/contacts/{id}`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-812,MOD-012,FR-126,FR-126,FR-126,Direct existing FR relation.,[Authentication/session error handling (Stage 3.5 error/UI rule)/Authentication/session error handling (Stage 3.5 error/UI rule)/Device-revocation error handling (Stage 3.5 error/UI rule)] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `GET_api_v1_contacts_id`; Stage_3_Field_Traceability_Final_3.5.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `GET /api/v1/contacts/{id}`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-813,MOD-012,FR-127,FR-127,FR-127,Direct existing FR relation.,Happy path: Изменить контакт,Critical,Contract/integration,OpenAPI `PATCH_api_v1_contacts_id`; Stage_3_Field_Traceability_Final_3.5.csv,"Given пользователь имеет `Contact.Update` и выполнены предусловия
When клиент отправляет `PATCH /api/v1/contacts/{id}` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-814,MOD-012,FR-127,FR-127,FR-127,Direct existing FR relation.,[Forbidden (Stage 3.5 State Matrix)/ObjectUnavailable (Stage 3.5 State Matrix)] Permission denied: Изменить контакт не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `PATCH_api_v1_contacts_id`; Stage_3_Field_Traceability_Final_3.5.csv,"Given пользователь аутентифицирован, но не имеет `Contact.Update` или требуемой relation
When клиент запрашивает `PATCH /api/v1/contacts/{id}`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-815,MOD-012,FR-127,FR-127,FR-127,Direct existing FR relation.,[Authentication/session error handling (Stage 3.5 error/UI rule)/Authentication/session error handling (Stage 3.5 error/UI rule)/Device-revocation error handling (Stage 3.5 error/UI rule)] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `PATCH_api_v1_contacts_id`; Stage_3_Field_Traceability_Final_3.5.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `PATCH /api/v1/contacts/{id}`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-816,MOD-012,FR-127,FR-127,FR-127,Direct existing FR relation.,[STATE-007] Validation: fieldErrors сохраняют draft и привязываются к canonical field path,High,Contract/UI,OpenAPI `PATCH_api_v1_contacts_id`; Stage_3_Field_Traceability_Final_3.5.csv,"Given пользователь заполнил payload для `PATCH_api_v1_contacts_id` с нарушением DTO constraint
When сервер возвращает VALIDATION_FAILED с fieldErrors
Then draft сохраняется, ошибки связываются с canonical field paths и фокус переходит к первой ошибке"
AC-817,MOD-012,FR-127,FR-127,FR-127,Direct existing FR relation.,[STATE-014/STATE-025] Conflict/precondition: устаревшая или отсутствующая If-Match не приводит к overwrite,Critical,Concurrency/integration,OpenAPI `PATCH_api_v1_contacts_id`; Stage_3_Field_Traceability_Final_3.5.csv,"Given серверное состояние изменилось после загрузки клиентом
When клиент отправляет `PATCH /api/v1/contacts/{id}` с устаревшей If-Match
Then сервер отклоняет команду без overwrite
And клиент сохраняет draft и предлагает refresh/compare/reapply или безопасный повтор"
AC-818,MOD-012,FR-127,FR-127,FR-127,Direct existing FR relation.,[ServerUnavailable (Stage 3.5 State Matrix)/ServerUnavailable (cached read-only presentation) (Stage 3.5 State Matrix)/Reconnecting (Stage 3.5 State Matrix)] Server unavailable/read-only: команда Изменить контакт не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `PATCH_api_v1_contacts_id`; Stage_3_Field_Traceability_Final_3.5.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Изменить контакт»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-819,MOD-012,FR-127,FR-127,FR-127,Direct existing FR relation.,[Trashed (Stage 3.5 State Matrix)] Удалённый объект: команда не применяется к trashed target и не создаёт новый объект,High,Lifecycle/integration,OpenAPI `PATCH_api_v1_contacts_id`; Stage_3_Field_Traceability_Final_3.5.csv,"Given target object был перемещён в Trash или удалён после загрузки
When выполняется `PATCH /api/v1/contacts/{id}`
Then сервер возвращает OBJECT_DELETED/OBJECT_NOT_VISIBLE согласно текущим правам
And клиент не восстанавливает optimistic state и предлагает только разрешённый restore/open Trash"
AC-820,MOD-012,FR-128,FR-128,FR-128,Direct existing FR relation.,Happy path: Добавить адрес,Critical,Contract/integration,OpenAPI `POST_api_v1_contacts_id_addresses`; Stage_3_Field_Traceability_Final_3.5.csv,"Given пользователь имеет `Contact.Update` и выполнены предусловия
When клиент отправляет `POST /api/v1/contacts/{id}/addresses` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-821,MOD-012,FR-128,FR-128,FR-128,Direct existing FR relation.,[Forbidden (Stage 3.5 State Matrix)/ObjectUnavailable (Stage 3.5 State Matrix)] Permission denied: Добавить адрес не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `POST_api_v1_contacts_id_addresses`; Stage_3_Field_Traceability_Final_3.5.csv,"Given пользователь аутентифицирован, но не имеет `Contact.Update` или требуемой relation
When клиент запрашивает `POST /api/v1/contacts/{id}/addresses`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-822,MOD-012,FR-128,FR-128,FR-128,Direct existing FR relation.,[Authentication/session error handling (Stage 3.5 error/UI rule)/Authentication/session error handling (Stage 3.5 error/UI rule)/Device-revocation error handling (Stage 3.5 error/UI rule)] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `POST_api_v1_contacts_id_addresses`; Stage_3_Field_Traceability_Final_3.5.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `POST /api/v1/contacts/{id}/addresses`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-823,MOD-012,FR-128,FR-128,FR-128,Direct existing FR relation.,[STATE-007] Validation: fieldErrors сохраняют draft и привязываются к canonical field path,High,Contract/UI,OpenAPI `POST_api_v1_contacts_id_addresses`; Stage_3_Field_Traceability_Final_3.5.csv,"Given пользователь заполнил payload для `POST_api_v1_contacts_id_addresses` с нарушением DTO constraint
When сервер возвращает VALIDATION_FAILED с fieldErrors
Then draft сохраняется, ошибки связываются с canonical field paths и фокус переходит к первой ошибке"
AC-824,MOD-012,FR-128,FR-128,FR-128,Direct existing FR relation.,[STATE-014/STATE-025] Conflict/precondition: устаревшая или отсутствующая If-Match не приводит к overwrite,Critical,Concurrency/integration,OpenAPI `POST_api_v1_contacts_id_addresses`; Stage_3_Field_Traceability_Final_3.5.csv,"Given серверное состояние изменилось после загрузки клиентом
When клиент отправляет `POST /api/v1/contacts/{id}/addresses` с устаревшей If-Match
Then сервер отклоняет команду без overwrite
And клиент сохраняет draft и предлагает refresh/compare/reapply или безопасный повтор"
AC-825,MOD-012,FR-128,FR-128,FR-128,Direct existing FR relation.,[ServerUnavailable (Stage 3.5 State Matrix)/ServerUnavailable (cached read-only presentation) (Stage 3.5 State Matrix)/Reconnecting (Stage 3.5 State Matrix)] Server unavailable/read-only: команда Добавить адрес не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `POST_api_v1_contacts_id_addresses`; Stage_3_Field_Traceability_Final_3.5.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Добавить адрес»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-826,MOD-012,FR-128,FR-128,FR-128,Direct existing FR relation.,[Stable-error-specific recovery (Stage 3.5 error/UI rule)] Idempotency: повтор с тем же key/hash не создаёт двойной side effect,Critical,Integration,OpenAPI `POST_api_v1_contacts_id_addresses`; Stage_3_Field_Traceability_Final_3.5.csv,"Given первая команда `POST_api_v1_contacts_id_addresses` уже принята с idempotency key и payload hash
When клиент безопасно повторяет тот же key и payload
Then сервер возвращает тот же бизнес-результат без второго side effect
And другой payload с тем же key отклоняется как IDEMPOTENCY_KEY_REUSED"
AC-827,MOD-012,FR-128,FR-128,FR-128,Direct existing FR relation.,[Trashed (Stage 3.5 State Matrix)] Удалённый объект: команда не применяется к trashed target и не создаёт новый объект,High,Lifecycle/integration,OpenAPI `POST_api_v1_contacts_id_addresses`; Stage_3_Field_Traceability_Final_3.5.csv,"Given target object был перемещён в Trash или удалён после загрузки
When выполняется `POST /api/v1/contacts/{id}/addresses`
Then сервер возвращает OBJECT_DELETED/OBJECT_NOT_VISIBLE согласно текущим правам
And клиент не восстанавливает optimistic state и предлагает только разрешённый restore/open Trash"
AC-828,MOD-012,FR-129,FR-129,FR-129,Direct existing FR relation.,[Archived (Stage 3.5 State Matrix)] Happy path: Архивировать контакт,Critical,Contract/integration,OpenAPI `POST_api_v1_contacts_id_archive`; Stage_3_Field_Traceability_Final_3.5.csv,"Given пользователь имеет `Contact.Update` и выполнены предусловия
When клиент отправляет `POST /api/v1/contacts/{id}/archive` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-829,MOD-012,FR-129,FR-129,FR-129,Direct existing FR relation.,[Forbidden (Stage 3.5 State Matrix)/ObjectUnavailable (Stage 3.5 State Matrix)/Archived (Stage 3.5 State Matrix)] Permission denied: Архивировать контакт не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `POST_api_v1_contacts_id_archive`; Stage_3_Field_Traceability_Final_3.5.csv,"Given пользователь аутентифицирован, но не имеет `Contact.Update` или требуемой relation
When клиент запрашивает `POST /api/v1/contacts/{id}/archive`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-830,MOD-012,FR-129,FR-129,FR-129,Direct existing FR relation.,[Archived (Stage 3.5 State Matrix)/Authentication/session error handling (Stage 3.5 error/UI rule)/Authentication/session error handling (Stage 3.5 error/UI rule)/Device-revocation error handling (Stage 3.5 error/UI rule)] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `POST_api_v1_contacts_id_archive`; Stage_3_Field_Traceability_Final_3.5.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `POST /api/v1/contacts/{id}/archive`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-831,MOD-012,FR-129,FR-129,FR-129,Direct existing FR relation.,[STATE-007/Archived (Stage 3.5 State Matrix)] Validation: fieldErrors сохраняют draft и привязываются к canonical field path,High,Contract/UI,OpenAPI `POST_api_v1_contacts_id_archive`; Stage_3_Field_Traceability_Final_3.5.csv,"Given пользователь заполнил payload для `POST_api_v1_contacts_id_archive` с нарушением DTO constraint
When сервер возвращает VALIDATION_FAILED с fieldErrors
Then draft сохраняется, ошибки связываются с canonical field paths и фокус переходит к первой ошибке"
AC-832,MOD-012,FR-129,FR-129,FR-129,Direct existing FR relation.,[STATE-014/Archived (Stage 3.5 State Matrix)/STATE-025] Conflict/precondition: устаревшая или отсутствующая If-Match не приводит к overwrite,Critical,Concurrency/integration,OpenAPI `POST_api_v1_contacts_id_archive`; Stage_3_Field_Traceability_Final_3.5.csv,"Given серверное состояние изменилось после загрузки клиентом
When клиент отправляет `POST /api/v1/contacts/{id}/archive` с устаревшей If-Match
Then сервер отклоняет команду без overwrite
And клиент сохраняет draft и предлагает refresh/compare/reapply или безопасный повтор"
AC-833,MOD-012,FR-129,FR-129,FR-129,Direct existing FR relation.,[ServerUnavailable (Stage 3.5 State Matrix)/ServerUnavailable (cached read-only presentation) (Stage 3.5 State Matrix)/Reconnecting (Stage 3.5 State Matrix)] Server unavailable/read-only: команда Архивировать контакт не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `POST_api_v1_contacts_id_archive`; Stage_3_Field_Traceability_Final_3.5.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Архивировать контакт»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-834,MOD-012,FR-129,FR-129,FR-129,Direct existing FR relation.,[Archived (Stage 3.5 State Matrix)/Stable-error-specific recovery (Stage 3.5 error/UI rule)] Idempotency: повтор с тем же key/hash не создаёт двойной side effect,Critical,Integration,OpenAPI `POST_api_v1_contacts_id_archive`; Stage_3_Field_Traceability_Final_3.5.csv,"Given первая команда `POST_api_v1_contacts_id_archive` уже принята с idempotency key и payload hash
When клиент безопасно повторяет тот же key и payload
Then сервер возвращает тот же бизнес-результат без второго side effect
And другой payload с тем же key отклоняется как IDEMPOTENCY_KEY_REUSED"
