"SCR ID","Module","Surface name","Surface type","Primary pattern","Shared components","Roles","Permission","Purpose","Entry points","Actions","States","Errors","Related SCR","Dependencies","Priority","Style dependency","Inventory status","Source line"
"SCR-069","Projects","Проект: настройки","tab/page","Tab workspace","ConflictNotice; ErrorMessage; FieldLabel; FormLayout; PageLayout; PeoplePicker; PermissionState; ProjectPicker; SemanticStatus; SurfaceTitle; ValidationMessage","Project readers; write по project capability","Project.Update","Metadata и status settings","SCR-061","Save; pause/complete; lifecycle","conflict; forbidden field; active task warning","VERSION_CONFLICT; INVALID_STATE_TRANSITION","SCR-070; SCR-072","Project context, authorization scope invalidation","P1","VIS-001","Mapped","113"
"SCR-070","Projects","Создать/редактировать проект","page/dialog","Modal dialog","ConflictNotice; DateTimePicker; DialogShell; ErrorMessage; FieldLabel; FocusTrap; FormLayout; PageLayout; PeoplePicker; ProjectPicker; SurfaceTitle; ValidationMessage","Project readers; write по project capability","Project.Create/Update","Явно сохранить Project draft","Project list/overview","Save; cancel","validation; duplicate; conflict","VALIDATION_FAILED; DUPLICATE_RESOURCE; VERSION_CONFLICT","SCR-061","Project context, authorization scope invalidation","P1","VIS-001","Mapped","114"
"SCR-071","Projects","Project role/overrides","dialog","Modal dialog","ConflictNotice; DialogShell; FieldLabel; FocusTrap; FormLayout; PeoplePicker; PermissionState; ProjectPicker; SurfaceTitle; ValidationMessage","Project readers; write по project capability","Project.ManageMembers","Выбрать role и редкие overrides","SCR-064","Apply; reset overrides","forbidden; scope changed; owner restriction","FORBIDDEN; SYNC_SCOPE_CHANGED; VERSION_CONFLICT","SCR-064","Project context, authorization scope invalidation","P1","VIS-001","Mapped","115"
"SCR-072","Projects","Lifecycle проекта","dialog/context menu","Context menu","ConflictNotice; ContextMenu; DialogShell; ErrorMessage; FocusTrap; LifecycleBanner; PeoplePicker; ProjectPicker; SemanticStatus; SurfaceTitle","Project readers; write по project capability","Project.Update/Archive/Delete/Restore","Разделить complete/archive/trash/restore","Project header/menu","Complete/pause/archive/trash/restore","invalid transition; active links; conflict","INVALID_STATE_TRANSITION; OBJECT_ARCHIVED; VERSION_CONFLICT","SCR-061; SCR-140; SCR-141","Project context, authorization scope invalidation","P1","VIS-001","Mapped","116"
"SCR-080","Files","Каталог файлов","page","Page","ConnectivityBanner; DataList; EmptyState; FieldLabel; FileLocationView; FormLayout; LoadingState; PageLayout; PermissionState; ProgressIndicator; ReadOnlyBanner; RetryAction; SelectionBar; SurfaceTitle; TreeView; ValidationMessage","File metadata readers; open/update отдельно","FileCatalog.Read","Виртуальное дерево и список metadata","Alt+6; project/contact links","Navigate; create; rename; virtual move; open; multi-select","node loading; empty; partial; offline; stale","OBJECT_NOT_VISIBLE; DATABASE_UNAVAILABLE","SCR-081..090","Windows Shell, OS ACL, native picker, path policy","P1","VIS-001","Mapped","122"
"SCR-081","Files","Карточка CatalogItem","page/side panel","Details inspector","ConnectivityBanner; DataList; FileLocationView; InspectorPanel; LifecycleBanner; PageLayout; ReadOnlyBanner; RetryAction; SearchBox; SurfaceTitle; TimelineHistory","File metadata readers; open/update отдельно","FileCatalog.Read","Metadata, locations, links, history","Tree/list/search/linked object","Open; edit; location; link; lifecycle","partial path visibility; archived; trashed; unavailable","FILE_NO_LOCATION; OBJECT_ARCHIVED; OBJECT_DELETED","SCR-083..089","Windows Shell, OS ACL, native picker, path policy","P1","VIS-001","Mapped","123"
"SCR-082","Files","Добавить CatalogItem","dialog","Modal dialog","ConnectivityBanner; DateTimePicker; DialogShell; FieldLabel; FileLocationView; FocusTrap; FormLayout; ReadOnlyBanner; RetryAction; SurfaceTitle; ValidationMessage","File metadata readers; open/update отдельно","FileCatalog.Create","Создать virtual folder/file/folder reference/URL/note","Catalog command bar; file drag metadata intake","Save; native picker; link target","unsafe path/type; duplicate; offline","UNSAFE_PATH; UNSAFE_FILE_TYPE; DUPLICATE_RESOURCE","SCR-081; SCR-210","Windows Shell, OS ACL, native picker, path policy","P1","VIS-001","Mapped","124"
"SCR-083","Files","Управление locations","tab/dialog","Modal dialog","ConflictNotice; DialogShell; FileLocationView; FocusTrap; PermissionState; SemanticStatus; SurfaceTitle","File metadata readers; open/update отдельно","FileReference.Open / FileLocation.Update","Показать paths, scope, owner/device, priority, availability","SCR-081","Add; relink; remove; priority; check","partial visibility; conflict; unsafe path","FORBIDDEN; VERSION_CONFLICT; UNSAFE_PATH","SCR-084; SCR-086; SCR-087","Windows Shell, OS ACL, native picker, path policy","P1","VIS-001","Mapped","125"
"SCR-084","Files","Выбор пути и открытие","dialog/flow","Modal dialog","ConnectivityBanner; DialogShell; FileLocationView; FocusTrap; ReadOnlyBanner; RetryAction; SurfaceTitle","File metadata readers; open/update отдельно","FileReference.Open","Показать resolved path и alternatives","Open from any file link","Open; alternative; folder; retry","no location; not found; denied; network","FILE_NO_LOCATION; FILE_NOT_FOUND; FILE_ACCESS_DENIED; NETWORK_RESOURCE_UNAVAILABLE","Windows Shell; SCR-085","Windows Shell, OS ACL, native picker, path policy","P1","VIS-001","Mapped","126"
"SCR-085","Files","Недоступный файл","recovery dialog","Modal dialog","ConnectivityBanner; DateTimePicker; DialogShell; FileLocationView; FocusTrap; ReadOnlyBanner; RetryAction; SurfaceTitle","File metadata readers; open/update отдельно","FileReference.Open; optional FileLocation.Update","Различить диагноз и дать safe recovery","Failed probe/open","Retry; alternative; relink; contact owner","not found; denied; network; unsafe; other-device","FILE_NOT_FOUND; FILE_ACCESS_DENIED; NETWORK_RESOURCE_UNAVAILABLE; UNSAFE_FILE_TYPE","SCR-086; SCR-083","Windows Shell, OS ACL, native picker, path policy","P1","VIS-001","Mapped","127"
"SCR-086","Files","Перепривязка location","dialog","Modal dialog","ConflictNotice; DialogShell; FieldLabel; FileLocationView; FocusTrap; FormLayout; PermissionState; SurfaceTitle; ValidationMessage","File metadata readers; open/update отдельно","FileLocation.Update","Изменить metadata path вручную","SCR-083/085","Replace; add alternative; cancel","unsafe path; conflict; wrong scope","UNSAFE_PATH; VERSION_CONFLICT; FORBIDDEN","SCR-081; SCR-084; SCR-210","Windows Shell, OS ACL, native picker, path policy","P1","VIS-001","Mapped","128"
"SCR-087","Files","Добавить альтернативный path","dialog","Modal dialog","ConnectivityBanner; DialogShell; FieldLabel; FileLocationView; FocusTrap; FormLayout; ReadOnlyBanner; RetryAction; SemanticStatus; SurfaceTitle; ValidationMessage","File metadata readers; open/update отдельно","FileLocation.Update","Добавить location без потери существующего","SCR-083/085","Add; test; set priority","duplicate; unsafe; inaccessible","DUPLICATE_RESOURCE; UNSAFE_PATH; NETWORK_RESOURCE_UNAVAILABLE","SCR-083","Windows Shell, OS ACL, native picker, path policy","P1","VIS-001","Mapped","129"
"SCR-088","Files","Связи CatalogItem","tab/panel","Panel","FileLocationView; InspectorPanel; PermissionState; ProjectPicker; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator","File metadata readers; open/update отдельно","ObjectLink.Read/Create/Delete","Связать с Task/Project/Contact","SCR-081","Add/remove/open link","target hidden; duplicate","OBJECT_NOT_VISIBLE; DUPLICATE_RESOURCE; FORBIDDEN","Target cards","Windows Shell, OS ACL, native picker, path policy","P1","VIS-001","Mapped","130"
"SCR-089","Files","Контекстное меню каталога","context menu","Context menu","ContextMenu; DataList; FileLocationView; LifecycleBanner; PermissionState; SurfaceTitle","File metadata readers; open/update отдельно","Capability-dependent","Keyboard/right-click commands","Tree/list","Open; rename; move; path; archive; trash; copy link","mixed selection; disabled reason","FORBIDDEN; OBJECT_ARCHIVED","Relevant dialog","Windows Shell, OS ACL, native picker, path policy","P1","VIS-001","Mapped","131"
"SCR-090","Files","Диагностика availability","panel/dialog","Panel","ConnectivityBanner; DialogShell; ErrorMessage; FileLocationView; FocusTrap; InspectorPanel; ReadOnlyBanner; RedactionMarker; RetryAction; SurfaceTitle","File metadata readers; open/update отдельно","FileReference.Open / NetworkResource.Manage","Last check, device, latency, redacted error","Locations/Admin resource","Recheck; copy safe report; admin resource","stale check; device/resource unavailable","NETWORK_RESOURCE_UNAVAILABLE; FILE_ACCESS_DENIED","SCR-159; SCR-182","Windows Shell, OS ACL, native picker, path policy","P1","VIS-001","Mapped","132"
"SCR-210","Files","Windows file/folder picker","native dialog","Modal dialog","DialogShell; FileLocationView; FocusTrap; SurfaceTitle","File metadata readers; open/update отдельно","FileCatalog.Create/FileLocation.Update","Выбрать existing path нативно","Add/relink","Choose; cancel","local access denied; unsafe server policy","UNSAFE_PATH; FILE_ACCESS_DENIED","SCR-082; SCR-086; SCR-087","Windows Shell, OS ACL, native picker, path policy","P1","VIS-001","Mapped","133"
"SCR-110","CRM","Контакты и компании: список","page","Data list","ConnectivityBanner; DataList; EmptyState; FieldLabel; FilterBar; FormLayout; PageLayout; PermissionState; ReadOnlyBanner; RetryAction; SearchBox; SurfaceTitle; ValidationMessage","Contact readers; write по scoped capability","Contact.Read","Поиск и фильтры people/companies","Alt+7","Open; create; filter; lifecycle","empty; partial; offline","OBJECT_NOT_VISIBLE","SCR-111..119","PII policy, object links","P1","VIS-001","Mapped","139"
"SCR-111","CRM","Карточка контакта","page","Page","InspectorPanel; LifecycleBanner; PageLayout; PermissionState; SearchBox; SurfaceTitle","Contact readers; write по scoped capability","Contact.Read","Person, channels, companies, interactions, links","List/search/task/project","Edit; channel; interaction; link; lifecycle","partial fields; archived; trashed","OBJECT_NOT_VISIBLE; OBJECT_ARCHIVED","SCR-112; SCR-115..118","PII policy, object links","P1","VIS-001","Mapped","140"
"SCR-112","CRM","Редактор контакта","page/dialog","Modal dialog","ConflictNotice; DateTimePicker; DialogShell; ErrorMessage; FieldLabel; FocusTrap; FormLayout; PageLayout; SurfaceTitle; ValidationMessage","Contact readers; write по scoped capability","Contact.Create/Update","Создать/изменить person","List/card","Save; cancel","validation; duplicate warning; conflict","VALIDATION_FAILED; DUPLICATE_RESOURCE; VERSION_CONFLICT","SCR-111","PII policy, object links","P1","VIS-001","Mapped","141"
"SCR-113","CRM","Карточка компании","page","Page","InspectorPanel; LifecycleBanner; PageLayout; PermissionState; SearchBox; SurfaceTitle","Contact readers; write по scoped capability","Contact.Read","Company, contact people, interactions, links","List/search/task/project","Edit; link contact; interaction; lifecycle","partial; archived; trashed","OBJECT_NOT_VISIBLE","SCR-114..118","PII policy, object links","P1","VIS-001","Mapped","142"
"SCR-114","CRM","Редактор компании","page/dialog","Modal dialog","ConflictNotice; DateTimePicker; DialogShell; ErrorMessage; FieldLabel; FocusTrap; FormLayout; PageLayout; SurfaceTitle; ValidationMessage","Contact readers; write по scoped capability","Contact.Create/Update","Создать/изменить counterparty","List/card","Save; cancel","validation; duplicate; conflict","VALIDATION_FAILED; DUPLICATE_RESOURCE; VERSION_CONFLICT","SCR-113","PII policy, object links","P1","VIS-001","Mapped","143"
"SCR-115","CRM","Каналы связи и адреса","tab/panel","Panel","ErrorMessage; InspectorPanel; PermissionState; RedactionMarker; SurfaceTitle","Contact readers; write по scoped capability","Contact.Read/Update","Phone/email/messenger/site/address","Contact/company card","Add/edit/delete/copy/open external handler","validation; partial redaction","VALIDATION_FAILED; FORBIDDEN","SCR-111; SCR-113","PII policy, object links","P1","VIS-001","Mapped","144"
"SCR-116","CRM","Interaction timeline","tab/timeline","Tab workspace","ConnectivityBanner; DateTimePicker; EmptyState; FieldLabel; FilterBar; FormLayout; PermissionState; ReadOnlyBanner; RetryAction; SurfaceTitle; ValidationMessage","Contact readers; write по scoped capability","Contact.Read","Ручная chronology взаимодействий","Contact/company card","Open; filter; create","empty; partial; offline","OBJECT_NOT_VISIBLE","SCR-117","PII policy, object links","P1","VIS-001","Mapped","145"
"SCR-117","CRM","Редактор Interaction","dialog","Modal dialog","ConflictNotice; DialogShell; ErrorMessage; FieldLabel; FocusTrap; FormLayout; PermissionState; SurfaceTitle; ValidationMessage","Contact readers; write по scoped capability","Interaction.Create/Update","Occurred_at, type, summary, participants, next step","SCR-116","Save; delete/restore if allowed","validation; conflict; hidden participant","VALIDATION_FAILED; VERSION_CONFLICT; OBJECT_NOT_VISIBLE","SCR-116","PII policy, object links","P1","VIS-001","Mapped","146"
"SCR-118","CRM","Связанные Task/Project/File","tab/panel","Panel","ConnectivityBanner; FileLocationView; InspectorPanel; PermissionState; ProjectPicker; ReadOnlyBanner; RedactionMarker; RetryAction; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator","Contact readers; write по scoped capability","ObjectLink.Read; create/delete by capability","Cross-module links","Contact/company card","Open; link; unlink","partial access; target unavailable","OBJECT_NOT_VISIBLE; FORBIDDEN","Target cards","PII policy, object links","P1","VIS-001","Mapped","147"
"SCR-119","CRM","Контекстное меню CRM","context menu","Context menu","ContextMenu; LifecycleBanner; PermissionState; SurfaceTitle","Contact readers; write по scoped capability","Capability-dependent","Быстрые безопасные actions","List/card","Open; edit; interaction; archive; trash; copy channel","disabled reasons","FORBIDDEN; OBJECT_ARCHIVED","Relevant dialog","PII policy, object links","P1","VIS-001","Mapped","148"
"SCR-130","Notifications","Центр уведомлений","page/panel","Panel","ConnectivityBanner; EmptyState; ErrorMessage; FilterBar; InspectorPanel; NotificationItem; PageLayout; PermissionState; ReadOnlyBanner; ReminderEditor; RetryAction; SemanticStatus; SurfaceTitle","Получатель notification/reminder","Notification.ReadOwn","Unread/read и target actions","Alt+8; bell; tray","Open; action; mark read; filter","empty; offline cached; target unavailable","OBJECT_NOT_VISIBLE; FORBIDDEN; INVALID_STATE_TRANSITION","Target card; SCR-153","Tray agent, Windows toast, target recheck","P1","VIS-001","Mapped","154"
"SCR-131","Notifications","Windows desktop notification","system notification","Specialized surface","ConflictNotice; ConnectivityBanner; DateTimePicker; ErrorMessage; NotificationItem; PermissionState; ReadOnlyBanner; ReminderEditor; RetryAction; SemanticStatus; SurfaceTitle","Получатель notification/reminder","Notification.ManageOwn + target recheck","Time-sensitive toast поверх окон","Windows delivery","Open; complete; snooze; reschedule; dismiss","DND; expired; offline; target changed","FORBIDDEN; VERSION_CONFLICT; INVALID_STATE_TRANSITION","SCR-004/target; Tray","Tray agent, Windows toast, target recheck","P1","VIS-001","Mapped","155"
"SCR-132","Notifications","Результат notification action","toast/inline","Data list","ConflictNotice; ConnectivityBanner; DataList; NotificationItem; PermissionState; ReadOnlyBanner; ReminderEditor; RetryAction; SurfaceTitle","Получатель notification/reminder","Target capability","Подтвердить или объяснить action result","After toast action","Open target; retry safe action","already applied; permission revoked; unavailable","FORBIDDEN; VERSION_CONFLICT; DATABASE_UNAVAILABLE","SCR-130/target","Tray agent, Windows toast, target recheck","P1","VIS-001","Mapped","156"
"SCR-133","Search","Глобальный поиск","overlay/page","Overlay / command surface","DataList; EmptyState; ErrorMessage; FilterBar; LoadingState; PageLayout; Pagination; PermissionState; PopoverSurface; ProgressIndicator; RedactionMarker; SearchBox; SurfaceTitle","Все с Search.Use","Search.Use","Поиск по разрешённым объектам без раскрытия скрытых результатов","Ctrl+F; shell search","Ввести q; открыть result; перейти к полным результатам","loading; empty; filtered empty; partial permission-safe; cursor invalid/expired","VALIDATION_FAILED; SEARCH_CURSOR_INVALID; SEARCH_CURSOR_EXPIRED; FORBIDDEN","SCR-134; target object","Server-side filtering, cursor snapshot","P0","VIS-001","Mapped","162"
"SCR-134","Search","Полные результаты поиска","page","Data list","DataList; EmptyState; ErrorMessage; FieldLabel; FilterBar; FormLayout; LoadingState; PageLayout; Pagination; ProgressIndicator; RedactionMarker; SearchBox; SurfaceTitle; ValidationMessage","Все с Search.Use","Search.Use","Группированные разрешённые результаты и cursor pagination","SCR-133; deep link","Page forward; open; reset filters","loading; empty; filtered empty; cursor restart; partial access","SEARCH_CURSOR_INVALID; SEARCH_CURSOR_EXPIRED; VALIDATION_FAILED","Target card","No client post-filtering","P0","VIS-001","Mapped","163"
"SCR-135","Search","Фильтры поиска","panel","Panel","EmptyState; ErrorMessage; FieldLabel; FileLocationView; FilterBar; FormLayout; InspectorPanel; Pagination; ProjectPicker; SearchBox; SurfaceTitle; ValidationMessage","Все с Search.Use","Search.Use","q, types, projectIds, userIds, departments, contactIds, hasFiles, lifecycle, from/to","SCR-133/134","Apply; reset all; remove chip","incompatible type; filtered empty; cursor reset","VALIDATION_FAILED; SEARCH_CURSOR_INVALID; SEARCH_CURSOR_EXPIRED","SCR-134","Filters applied server-side before pagination","P0","VIS-001","Mapped","164"
"SCR-136","Search","Partial/offline search banner","banner/empty","Specialized surface","ConnectivityBanner; EmptyState; ErrorMessage; FilterBar; ReadOnlyBanner; RetryAction; SearchBox; SurfaceTitle","Все с Search.Use","Search.Use","Явно обозначить cache-only/partial results","Offline; timeout; scope change","Retry; clear filter; reconnect","offline; timeout; scope changed","DATABASE_UNAVAILABLE; TIMEOUT; SYNC_SCOPE_CHANGED","SCR-133; SCR-134","Authorization-aware search, cache fallback","P0","VIS-001","Mapped","165"
"SCR-140","Lifecycle","Архив","page","Page","ConnectivityBanner; DataList; EmptyState; FilterBar; LifecycleBanner; PageLayout; PermissionState; ReadOnlyBanner; RetryAction; SurfaceTitle; TimelineHistory","По object lifecycle capability","History.Read; Archive.Restore","Read-only archived objects","Navigation","Open; unarchive; filter","empty; partial; offline","OBJECT_NOT_VISIBLE; FORBIDDEN","Object cards; SCR-142","Object-specific restore, history","P0","VIS-001","Mapped","171"
"SCR-141","Lifecycle","Корзина","page","Page","ConflictNotice; DataList; DateTimePicker; EmptyState; LifecycleBanner; PageLayout; PermissionState; SurfaceTitle; TimelineHistory","По object lifecycle capability","Trash.Read","Deleted metadata, purge date, eligibility","Navigation","Open read-only; restore; purge","empty; legal hold; parent missing; conflict","OBJECT_DELETED; FORBIDDEN","SCR-142; SCR-143","Object-specific restore, history","P0","VIS-001","Mapped","172"
"SCR-142","Lifecycle","Восстановление / restore conflict","dialog","Modal dialog","DataList; DialogShell; FocusTrap; PermissionState; SurfaceTitle; TimelineHistory","По object lifecycle capability","Trash.Restore / Archive.Restore / object Restore","Валидировать parent/name/relations","Archive/Trash/object banner","Restore; choose parent/name; cancel","duplicate; hidden parent; permission changed","DUPLICATE_RESOURCE; OBJECT_NOT_VISIBLE; FORBIDDEN","Object card","Object-specific restore, history","P2","VIS-001","Mapped","173"
"SCR-143","Lifecycle","Purge metadata","critical dialog","Modal dialog","ConflictNotice; DataList; DialogShell; ErrorMessage; FocusTrap; PermissionState; SemanticStatus; SurfaceTitle; TimelineHistory","По object lifecycle capability","Trash.Purge","Подтвердить irreversible metadata deletion","Trash action","Type confirmation; purge; cancel","retention blocked; legal hold; conflict","FORBIDDEN; INVALID_STATE_TRANSITION","SCR-141","Object-specific restore, history","P0","VIS-001","Mapped","174"
"SCR-150","Settings","Настройки","settings shell","Application shell","CommandBar; ConflictNotice; ConnectionStatus; ConnectivityBanner; FieldLabel; FormLayout; NavigationRail; NotificationItem; PermissionState; ProfileMenu; ReadOnlyBanner; RetryAction; SurfaceTitle; ValidationMessage","Текущий пользователь; org/admin по capability","Settings.ReadOwn","Настройки с реальным effect и scope labels","Profile menu; Navigation","Open sections; save section","offline read-only; server-managed locked","FORBIDDEN; VERSION_CONFLICT","SCR-151..161","Settings APIs, Windows settings","P0","VIS-001","Mapped","180"
"SCR-151","Settings","Профиль","settings section","Specialized surface","DateTimePicker; ErrorMessage; FieldLabel; FileLocationView; FormLayout; NotificationItem; PermissionState; SurfaceTitle; ValidationMessage","Текущий пользователь; org/admin по capability","Settings.ReadOwn/UpdateOwn","Profile/timezone/format fields exposed by contract","SCR-150","Save supported profile/settings fields; avatar control отсутствует, поскольку DTO field не определён","validation; admin-managed field","VALIDATION_FAILED; FORBIDDEN","SCR-150","Settings APIs, Windows settings","P2","VIS-001","Mapped","181"
"SCR-152","Settings","Пароль и безопасность","settings section","Specialized surface","DataList; ErrorMessage; NotificationItem; SurfaceTitle","Текущий пользователь; org/admin по capability","Authenticated","Change password, revoke sessions","SCR-150","Change; logout all; revoke","wrong current password; revoked","INVALID_CREDENTIALS; SESSION_REVOKED","SCR-001; SCR-161","Settings APIs, Windows settings","P2","VIS-001","Mapped","182"
"SCR-153","Settings","Notifications и DND","settings section","Specialized surface","ErrorMessage; FieldLabel; FormLayout; NotificationItem; PermissionState; SurfaceTitle; ValidationMessage","Текущий пользователь; org/admin по capability","Settings.ReadOwn/UpdateOwn","Desktop delivery, sound, DND/quiet hours, default snooze; notificationType отображается как server context","SCR-150/130","Save; test local toast; Windows settings","OS permission denied; invalid intervals","VALIDATION_FAILED","SCR-130","Settings APIs, Windows settings","P2","VIS-001","Mapped","183"
"SCR-154","Settings","Calendar preferences","settings section","Specialized surface","DateTimePicker; ErrorMessage; FieldLabel; FormLayout; NotificationItem; SurfaceTitle; ValidationMessage","Текущий пользователь; org/admin по capability","Settings.ReadOwn/UpdateOwn","First day, work hours, weekends, duration, time format","SCR-150","Save; reset org defaults","validation","VALIDATION_FAILED","SCR-040","Settings APIs, Windows settings","P2","VIS-001","Mapped","184"
"SCR-155","Settings","Startup, tray и device","settings section","Specialized surface","FieldLabel; FormLayout; NotificationItem; PermissionState; SemanticStatus; SurfaceTitle; ValidationMessage","Текущий пользователь; org/admin по capability","Device.UpdateOwnOrAll","Autostart, close-to-tray, device name, OS notification state","SCR-150","Save; enable startup; revoke if allowed","Windows denied; device revoked","DEVICE_REVOKED; FORBIDDEN","SCR-211; SCR-006","Settings APIs, Windows settings","P2","VIS-001","Mapped","185"
"SCR-156","Settings","Cache и sync","settings section","Specialized surface","ConnectivityBanner; NotificationItem; Pagination; ReadOnlyBanner; RetryAction; SurfaceTitle","Текущий пользователь; org/admin по capability","Sync.Read","Cache size, last sync, clear/rebuild, no offline queue","SCR-150/206","Sync now; clear cache; bootstrap","syncing; cursor expired; scope changed","SYNC_CURSOR_EXPIRED; SYNC_SCOPE_CHANGED","SCR-003; SCR-206","Settings APIs, Windows settings","P2","VIS-001","Mapped","186"
"SCR-157","Settings","Подключение","settings section","Specialized surface","ConnectivityBanner; NotificationItem; ReadOnlyBanner; RetryAction; SemanticStatus; SurfaceTitle","Текущий пользователь; org/admin по capability","Authenticated","Server endpoint, TLS, state, version","SCR-150/205","Test; change endpoint with logout/cache clear","unavailable; incompatible; certificate issue","DEPENDENCY_UNAVAILABLE; CLIENT_VERSION_UNSUPPORTED","SCR-002; SCR-003","Settings APIs, Windows settings","P0","VIS-001","Mapped","187"
"SCR-158","Settings","Доступность","settings section","Specialized surface","NotificationItem; SurfaceTitle","Текущий пользователь; org/admin по capability","Local","Keyboard, reduced motion, density/contrast where implemented","SCR-150","Toggle; open Windows settings","restart required","—","SCR-150","Settings APIs, Windows settings","P2","VIS-001","Mapped","188"
"SCR-159","Settings","Диагностика клиента","settings/dialog","Modal dialog","ConnectivityBanner; DialogShell; FocusTrap; NotificationItem; PermissionState; ReadOnlyBanner; RetryAction; SurfaceTitle","Текущий пользователь; org/admin по capability","Authenticated; extended admin","Safe versions, connection, sync, cache, trace IDs","SCR-150; error details","Copy redacted report; logs; retry","health unavailable; limited permission","DATABASE_UNAVAILABLE; DEPENDENCY_UNAVAILABLE","SCR-183","Settings APIs, Windows settings","P0","VIS-001","Mapped","189"
"SCR-161","Settings","Мои devices и sessions","settings section","Specialized surface","DataList; NotificationItem; SurfaceTitle","Текущий пользователь; org/admin по capability","Session.ReadOwnOrAll; Device.ReadOwnOrAll","Review/revoke own sessions/devices","SCR-150/152","Revoke; rename device; logout all","current session guard; revoked","SESSION_REVOKED; DEVICE_REVOKED","SCR-001","Settings APIs, Windows settings","P2","VIS-001","Mapped","190"
"SCR-170","Admin","Администрирование","admin shell","Application shell","CommandBar; ConnectionStatus; DataList; NavigationRail; PermissionState; ProfileMenu; SurfaceTitle; TimelineHistory","Только explicit admin capabilities","Any administrative capability","Вход в audited admin modules","Navigation when capability present","Open admin sections","partial admin capabilities; forbidden","FORBIDDEN","SCR-171..188","Audit, policy engine, management APIs","P2","VIS-001","Mapped","196"
"SCR-171","Admin","Пользователи","admin page","Page","ConflictNotice; DataList; EmptyState; FieldLabel; FilterBar; FormLayout; PageLayout; PermissionState; SurfaceTitle; TimelineHistory; ValidationMessage","Только explicit admin capabilities","User.Read/Create/Update/Block","Directory and account lifecycle","SCR-170","Create; open; filter; activate/block/deactivate","empty; scope limited; conflict","FORBIDDEN; VERSION_CONFLICT","SCR-172..174","Audit, policy engine, management APIs","P0","VIS-001","Mapped","197"
"SCR-172","Admin","Карточка пользователя","admin page","Page","ConflictNotice; DataList; FieldLabel; FileLocationView; FormLayout; InspectorPanel; PageLayout; PermissionState; SurfaceTitle; TimelineHistory; ValidationMessage","Только explicit admin capabilities","User.Read","Profile, account, roles, sessions/devices, effective permissions","SCR-171","Edit; role; reset; block; revoke","partial; blocked; deactivated; conflict","FORBIDDEN; OBJECT_NOT_VISIBLE","SCR-173; SCR-174; SCR-179; SCR-181","Audit, policy engine, management APIs","P0","VIS-001","Mapped","198"
"SCR-173","Admin","Создание/активация пользователя","admin page/dialog","Modal dialog","DataList; DateTimePicker; DialogShell; ErrorMessage; FieldLabel; FileLocationView; FocusTrap; FormLayout; PageLayout; SurfaceTitle; TimelineHistory; ValidationMessage","Только explicit admin capabilities","User.Create","Создать profile/account и activation path","SCR-171","Create; activate; one-time instruction","duplicate login/email; validation","DUPLICATE_RESOURCE; VALIDATION_FAILED","SCR-172","Audit, policy engine, management APIs","P2","VIS-001","Mapped","199"
"SCR-174","Admin","Block/deactivate user","critical dialog","Modal dialog","ConflictNotice; DataList; DialogShell; ErrorMessage; FocusTrap; PermissionState; SemanticStatus; SurfaceTitle; TimelineHistory","Только explicit admin capabilities","User.Block","Объяснить session revoke и разницу block/deactivate","User list/card","Confirm; cancel","self-lockout; last admin; conflict","FORBIDDEN; INVALID_STATE_TRANSITION; VERSION_CONFLICT","SCR-172","Audit, policy engine, management APIs","P0","VIS-001","Mapped","200"
"SCR-175","Admin","Отделы","admin page","Page","ConflictNotice; DataList; FieldLabel; FormLayout; PageLayout; SurfaceTitle; TimelineHistory; ValidationMessage","Только explicit admin capabilities","Department.Read/Manage","Иерархия и managers","SCR-170","Create; edit; managers; archive/trash/restore","cycle; active children; conflict","DEPENDENCY_CYCLE; VERSION_CONFLICT","SCR-176","Audit, policy engine, management APIs","P0","VIS-001","Mapped","201"
"SCR-176","Admin","Редактор отдела","admin page/dialog","Modal dialog","ConflictNotice; DataList; DialogShell; FieldLabel; FocusTrap; FormLayout; PageLayout; PermissionState; SemanticStatus; SurfaceTitle; TimelineHistory; ValidationMessage","Только explicit admin capabilities","Department.Manage","Name/parent/managers/status","SCR-175","Save; archive; restore","cycle; hidden parent; conflict","DEPENDENCY_CYCLE; OBJECT_NOT_VISIBLE","SCR-175","Audit, policy engine, management APIs","P0","VIS-001","Mapped","202"
"SCR-177","Admin","Роли и permissions","admin page","Page","ConflictNotice; DataList; FieldLabel; FormLayout; PageLayout; PermissionState; ProjectPicker; SurfaceTitle; TimelineHistory; ValidationMessage","Только explicit admin capabilities","Role.Read/Manage","System roles, project roles, permission catalog","SCR-170","Create; open; activate/deactivate","system role immutable; conflict","FORBIDDEN; VERSION_CONFLICT","SCR-178","Audit, policy engine, management APIs","P0","VIS-001","Mapped","203"
"SCR-178","Admin","Редактор role permissions","admin page/dialog","Modal dialog","ConflictNotice; DataList; DialogShell; FieldLabel; FocusTrap; FormLayout; PageLayout; PermissionState; SurfaceTitle; TimelineHistory; ValidationMessage","Только explicit admin capabilities","Role.Manage","Назначить permission groups без лишней policy complexity","SCR-177","Save; reset; compare","dangerous permission; conflict","VERSION_CONFLICT; FORBIDDEN","SCR-177","Audit, policy engine, management APIs","P0","VIS-001","Mapped","204"
