method,path,canonical_traceability_source,catalog_present,openapi_present,operation_id,openapi_permission,catalog_permission,request_contract,response_contract,status,difference
PATCH,/api/v1/recurrence-series/{id},catalogs/api_catalog.csv,True,True,PATCH_api_v1_recurrence_series_id,Task.ManageRecurrence,Task.ManageRecurrence,RecurrenceSeriesPatch,RecurrenceSeries,match,
POST,/api/v1/recurrence-series/{id}/apply-change,catalogs/api_catalog.csv,True,True,POST_api_v1_recurrence_series_id_apply_change,Task.ManageRecurrence,Task.ManageRecurrence,RecurrenceScopedChange,RecurrenceChangeResult,match,
POST,/api/v1/recurrence-series/{id}/generate,catalogs/api_catalog.csv,True,True,POST_api_v1_recurrence_series_id_generate,System.JobRun,System.JobRun,GenerateOccurrencesRequest,GenerationSummary,match,
POST,/api/v1/recurrence-series/{id}/preview,catalogs/api_catalog.csv,True,True,POST_api_v1_recurrence_series_id_preview,Task.Read,Task.Read,RecurrencePreviewRequest,OccurrencePreview[],match,
POST,/api/v1/recurrence-series/{id}/resume,catalogs/api_catalog.csv,True,True,POST_api_v1_recurrence_series_id_resume,Task.ManageRecurrence,Task.ManageRecurrence,RestoreRequest,RecurrenceSeries,match,
POST,/api/v1/recurrence-series/{id}/skip/{occurrenceKey},catalogs/api_catalog.csv,True,True,POST_api_v1_recurrence_series_id_skip_occurrenceKey,Task.ManageRecurrence,Task.ManageRecurrence,SkipOccurrenceRequest,RecurrenceOccurrence,match,
GET,/api/v1/reminders,catalogs/api_catalog.csv,True,True,GET_api_v1_reminders,Reminder.ManageOwn,Reminder.ManageOwn,"query: filter,sort,page,cursor",Page<Reminder>,match,
POST,/api/v1/reminders,catalogs/api_catalog.csv,True,True,POST_api_v1_reminders,Reminder.ManageOwn,Reminder.ManageOwn,ReminderCreate,Reminder,match,
GET,/api/v1/reminders/upcoming,catalogs/api_catalog.csv,True,True,GET_api_v1_reminders_upcoming,Reminder.ManageOwn,Reminder.ManageOwn,"query:until,limit",ReminderOccurrence[],match,
DELETE,/api/v1/reminders/{id},catalogs/api_catalog.csv,True,True,DELETE_api_v1_reminders_id,Reminder.ManageOwn,Reminder.ManageOwn,path:id,Reminder,match,
GET,/api/v1/reminders/{id},catalogs/api_catalog.csv,True,True,GET_api_v1_reminders_id,Reminder.ManageOwn,Reminder.ManageOwn,path:id,Reminder,match,
PATCH,/api/v1/reminders/{id},catalogs/api_catalog.csv,True,True,PATCH_api_v1_reminders_id,Reminder.ManageOwn,Reminder.ManageOwn,ReminderPatch,Reminder,match,
POST,/api/v1/reminders/{id}/dismiss,catalogs/api_catalog.csv,True,True,POST_api_v1_reminders_id_dismiss,Reminder.ManageOwn,Reminder.ManageOwn,DismissReminderRequest,204,match,
POST,/api/v1/reminders/{id}/reschedule,catalogs/api_catalog.csv,True,True,POST_api_v1_reminders_id_reschedule,Reminder.ManageOwn,Reminder.ManageOwn,RestoreRequest,Reminder,match,
POST,/api/v1/reminders/{id}/snooze,catalogs/api_catalog.csv,True,True,POST_api_v1_reminders_id_snooze,Reminder.ManageOwn,Reminder.ManageOwn,SnoozeRequest,ReminderOccurrence,match,
GET,/api/v1/roles,catalogs/api_catalog.csv,True,True,GET_api_v1_roles,Role.Read,Role.Read,"query: filter,sort,page,cursor",Page<Role>,match,
POST,/api/v1/roles,catalogs/api_catalog.csv,True,True,POST_api_v1_roles,Role.Manage,Role.Manage,RoleCreate,Role,match,
DELETE,/api/v1/roles/{id},catalogs/api_catalog.csv,True,True,DELETE_api_v1_roles_id,Role.Manage,Role.Manage,path:id,Role,match,
GET,/api/v1/roles/{id},catalogs/api_catalog.csv,True,True,GET_api_v1_roles_id,Role.Read,Role.Read,path:id,Role,match,
PATCH,/api/v1/roles/{id},catalogs/api_catalog.csv,True,True,PATCH_api_v1_roles_id,Role.Manage,Role.Manage,RolePatch,Role,match,
POST,/api/v1/roles/{id}/activate,catalogs/api_catalog.csv,True,True,POST_api_v1_roles_id_activate,Role.Manage,Role.Manage,RestoreRequest,Role,match,
PUT,/api/v1/roles/{id}/permissions,catalogs/api_catalog.csv,True,True,PUT_api_v1_roles_id_permissions,Role.Manage,Role.Manage,PermissionCodes,Role,match,
GET,/api/v1/search,catalogs/api_catalog.csv,True,True,GET_api_v1_search,Search.Use,Search.Use,"query:q,types,projectIds,userIds,departments,contactIds,hasFiles,lifecycle,from,to,cursor,limit",SearchPage,match,
GET,/api/v1/search/suggestions,catalogs/api_catalog.csv,True,True,GET_api_v1_search_suggestions,Search.Use,Search.Use,"query:q,types,limit",SearchSuggestion[],match,
GET,/api/v1/settings/me,catalogs/api_catalog.csv,True,True,GET_api_v1_settings_me,Settings.ReadOwn,Settings.ReadOwn,—,UserSettings,match,
PATCH,/api/v1/settings/me,catalogs/api_catalog.csv,True,True,PATCH_api_v1_settings_me,Settings.UpdateOwn,Settings.UpdateOwn,UserSettingsPatch,UserSettings,match,
GET,/api/v1/settings/organization,catalogs/api_catalog.csv,True,True,GET_api_v1_settings_organization,Organization.Read,Organization.Read,—,OrganizationSettings,match,
PATCH,/api/v1/settings/organization,catalogs/api_catalog.csv,True,True,PATCH_api_v1_settings_organization,Organization.Update,Organization.Update,OrganizationSettingsPatch,OrganizationSettings,match,
POST,/api/v1/sync/ack,catalogs/api_catalog.csv,True,True,POST_api_v1_sync_ack,Sync.Read,Sync.Read,SyncAck,204,match,
POST,/api/v1/sync/bootstrap,catalogs/api_catalog.csv,True,True,POST_api_v1_sync_bootstrap,Sync.Read,Sync.Read,SyncBootstrapRequest,SyncBatch,match,
GET,/api/v1/sync/changes,catalogs/api_catalog.csv,True,True,GET_api_v1_sync_changes,Sync.Read,Sync.Read,"query:cursor,limit,scopeVersion",SyncBatch,match,
GET,/api/v1/system/time,catalogs/api_catalog.csv,True,True,GET_api_v1_system_time,Authenticated,Authenticated,—,ServerTime,match,
GET,/api/v1/system/version,catalogs/api_catalog.csv,True,True,GET_api_v1_system_version,Authenticated,Authenticated,—,SystemVersion,match,
GET,/api/v1/tags,catalogs/api_catalog.csv,True,True,GET_api_v1_tags,Tag.Read,Tag.Read,"query: filter,sort,page,cursor",Page<Tag>,match,
POST,/api/v1/tags,catalogs/api_catalog.csv,True,True,POST_api_v1_tags,Tag.Manage,Tag.Manage,TagCreate,Tag,match,
DELETE,/api/v1/tags/{id},catalogs/api_catalog.csv,True,True,DELETE_api_v1_tags_id,Tag.Manage,Tag.Manage,path:id,DeletionReceipt,match,
GET,/api/v1/tags/{id},catalogs/api_catalog.csv,True,True,GET_api_v1_tags_id,Tag.Read,Tag.Read,path:id,Tag,match,
PATCH,/api/v1/tags/{id},catalogs/api_catalog.csv,True,True,PATCH_api_v1_tags_id,Tag.Manage,Tag.Manage,TagPatch,Tag,match,
POST,/api/v1/tags/{id}/restore,catalogs/api_catalog.csv,True,True,POST_api_v1_tags_id_restore,Tag.Manage,Tag.Manage,RestoreRequest,Tag,match,
GET,/api/v1/tasks,catalogs/api_catalog.csv,True,True,GET_api_v1_tasks,Task.Read,Task.Read,"query: filter,sort,page,cursor",Page<Task>,match,
POST,/api/v1/tasks,catalogs/api_catalog.csv,True,True,POST_api_v1_tasks,Task.Create,Task.Create,TaskCreate,Task,match,
POST,/api/v1/tasks/bulk-transition,catalogs/api_catalog.csv,True,True,POST_api_v1_tasks_bulk_transition,Task.ChangeStatus,Task.ChangeStatus,BulkTaskTransition,BulkOperationResult,match,
DELETE,/api/v1/tasks/{id},catalogs/api_catalog.csv,True,True,DELETE_api_v1_tasks_id,Task.Delete,Task.Delete,path:id,DeletionReceipt,match,
GET,/api/v1/tasks/{id},catalogs/api_catalog.csv,True,True,GET_api_v1_tasks_id,Task.Read,Task.Read,path:id,Task,match,
PATCH,/api/v1/tasks/{id},catalogs/api_catalog.csv,True,True,PATCH_api_v1_tasks_id,Task.Update,Task.Update,TaskPatch,Task,match,
POST,/api/v1/tasks/{id}/archive,catalogs/api_catalog.csv,True,True,POST_api_v1_tasks_id_archive,Task.Archive,Task.Archive,ArchiveRequest,Task,match,
PUT,/api/v1/tasks/{id}/assignees,catalogs/api_catalog.csv,True,True,PUT_api_v1_tasks_id_assignees,Task.Assign,Task.Assign,TaskAssigneesReplace,Task,match,
POST,/api/v1/tasks/{id}/dependencies,catalogs/api_catalog.csv,True,True,POST_api_v1_tasks_id_dependencies,Task.Update,Task.Update,TaskDependencyCreate,TaskDependency,match,
DELETE,/api/v1/tasks/{id}/dependencies/{dependencyId},catalogs/api_catalog.csv,True,True,DELETE_api_v1_tasks_id_dependencies_dependencyId,Task.Update,Task.Update,—,204,match,
GET,/api/v1/tasks/{id}/history,catalogs/api_catalog.csv,True,True,GET_api_v1_tasks_id_history,History.Read,History.Read,"query:cursor,page",Page<HistoryEntry>,match,
POST,/api/v1/tasks/{id}/move,catalogs/api_catalog.csv,True,True,POST_api_v1_tasks_id_move,Task.Update,Task.Update,TaskMoveRequest,Task,match,
POST,/api/v1/tasks/{id}/restore,catalogs/api_catalog.csv,True,True,POST_api_v1_tasks_id_restore,Task.Restore,Task.Restore,RestoreRequest,Task,match,
GET,/api/v1/tasks/{id}/subtasks,catalogs/api_catalog.csv,True,True,GET_api_v1_tasks_id_subtasks,Task.Read,Task.Read,query:sort,Task[],match,
POST,/api/v1/tasks/{id}/subtasks,catalogs/api_catalog.csv,True,True,POST_api_v1_tasks_id_subtasks,Task.Create,Task.Create,TaskCreate,Task,match,
POST,/api/v1/tasks/{id}/transition,catalogs/api_catalog.csv,True,True,POST_api_v1_tasks_id_transition,Task.ChangeStatus,Task.ChangeStatus,TaskTransitionRequest,Task,match,
POST,/api/v1/tasks/{id}/unarchive,catalogs/api_catalog.csv,True,True,POST_api_v1_tasks_id_unarchive,Task.Archive,Task.Archive,—,Task,match,
PUT,/api/v1/tasks/{id}/watchers,catalogs/api_catalog.csv,True,True,PUT_api_v1_tasks_id_watchers,Task.ManageWatchers,Task.ManageWatchers,TaskWatchersReplace,Task,match,
GET,/api/v1/tasks/{taskId}/checklists,catalogs/api_catalog.csv,True,True,GET_api_v1_tasks_taskId_checklists,Task.Read,Task.Read,"query: filter,sort,page,cursor",Page<Checklist>,match,
POST,/api/v1/tasks/{taskId}/checklists,catalogs/api_catalog.csv,True,True,POST_api_v1_tasks_taskId_checklists,Task.Update,Task.Update,ChecklistCreate,Checklist,match,
POST,/api/v1/tasks/{taskId}/checklists/{checklistId}/items,catalogs/api_catalog.csv,True,True,POST_api_v1_tasks_taskId_checklists_checklistId_items,Task.Update,Task.Update,ChecklistItemCreate,ChecklistItem,match,
DELETE,/api/v1/tasks/{taskId}/checklists/{checklistId}/items/{itemId},catalogs/api_catalog.csv,True,True,DELETE_api_v1_tasks_taskId_checklists_checklistId_items_itemId,Task.Update,Task.Update,—,204,match,
PATCH,/api/v1/tasks/{taskId}/checklists/{checklistId}/items/{itemId},catalogs/api_catalog.csv,True,True,PATCH_api_v1_tasks_taskId_checklists_checklistId_items_itemId,Task.ChangeStatus,Task.ChangeStatus,ChecklistItemPatch,ChecklistItem,match,
POST,/api/v1/tasks/{taskId}/checklists/{checklistId}/reorder,catalogs/api_catalog.csv,True,True,POST_api_v1_tasks_taskId_checklists_checklistId_reorder,Task.Update,Task.Update,OrderKeys,Checklist,match,
DELETE,/api/v1/tasks/{taskId}/checklists/{id},catalogs/api_catalog.csv,True,True,DELETE_api_v1_tasks_taskId_checklists_id,Task.Update,Task.Update,path:id,DeletionReceipt,match,
GET,/api/v1/tasks/{taskId}/checklists/{id},catalogs/api_catalog.csv,True,True,GET_api_v1_tasks_taskId_checklists_id,Task.Read,Task.Read,path:id,Checklist,match,
PATCH,/api/v1/tasks/{taskId}/checklists/{id},catalogs/api_catalog.csv,True,True,PATCH_api_v1_tasks_taskId_checklists_id,Task.Update,Task.Update,ChecklistPatch,Checklist,match,
GET,/api/v1/today,catalogs/api_catalog.csv,True,True,GET_api_v1_today,Calendar.Read,Calendar.Read,"query:timezone,cursor,limit",TodayPage,match,
GET,/api/v1/trash,catalogs/api_catalog.csv,True,True,GET_api_v1_trash,Trash.Read,Trash.Read,"query:type,deletedBy,purgeBefore,page",Page<TrashEntry>,match,
DELETE,/api/v1/trash/{objectId},catalogs/api_catalog.csv,True,True,DELETE_api_v1_trash_objectId,Trash.Purge,Trash.Purge,PurgeRequest,BackgroundJobRun,match,
POST,/api/v1/trash/{objectId}/restore,catalogs/api_catalog.csv,True,True,POST_api_v1_trash_objectId_restore,Trash.Restore,Trash.Restore,RestoreRequest,ObjectReference,match,
GET,/api/v1/users,catalogs/api_catalog.csv,True,True,GET_api_v1_users,User.Read,User.Read,"query: filter,sort,page,cursor",Page<User>,match,
POST,/api/v1/users,catalogs/api_catalog.csv,True,True,POST_api_v1_users,User.Create,User.Create,UserCreate,User,match,
GET,/api/v1/users/{id},catalogs/api_catalog.csv,True,True,GET_api_v1_users_id,User.Read,User.Read,path:id,User,match,
PATCH,/api/v1/users/{id},catalogs/api_catalog.csv,True,True,PATCH_api_v1_users_id,User.Update,User.Update,UserPatch,User,match,
POST,/api/v1/users/{id}/activate,catalogs/api_catalog.csv,True,True,POST_api_v1_users_id_activate,User.Create,User.Create,ActivationRequest,User,match,
POST,/api/v1/users/{id}/block,catalogs/api_catalog.csv,True,True,POST_api_v1_users_id_block,User.Block,User.Block,BlockUserRequest,User,match,
POST,/api/v1/users/{id}/deactivate,catalogs/api_catalog.csv,True,True,POST_api_v1_users_id_deactivate,User.Block,User.Block,DeactivateUserRequest,User,match,
GET,/api/v1/users/{id}/effective-permissions,catalogs/api_catalog.csv,True,True,GET_api_v1_users_id_effective_permissions,Authorization.Explain,Authorization.Explain,"query:objectType,objectId",EffectivePermissions,match,
GET,/api/v1/users/{id}/history,catalogs/api_catalog.csv,True,True,GET_api_v1_users_id_history,History.Read,History.Read,"query:cursor,page",Page<HistoryEntry>,match,
POST,/api/v1/users/{id}/reactivate,catalogs/api_catalog.csv,True,True,POST_api_v1_users_id_reactivate,User.Block,User.Block,—,User,match,
PUT,/api/v1/users/{id}/roles,catalogs/api_catalog.csv,True,True,PUT_api_v1_users_id_roles,User.ManageRoles,User.ManageRoles,UserRolesReplace,UserRole[],match,
POST,/api/v1/users/{id}/unblock,catalogs/api_catalog.csv,True,True,POST_api_v1_users_id_unblock,User.Block,User.Block,—,User,match,
GET,/health/details,catalogs/api_catalog.csv,True,True,GET_health_details,System.HealthRead,System.HealthRead,—,HealthDetails,match,
GET,/health/live,catalogs/api_catalog.csv,True,True,GET_health_live,Anonymous/Network allowlist,Anonymous/Network allowlist,—,Health,match,
GET,/health/ready,catalogs/api_catalog.csv,True,True,GET_health_ready,Anonymous/Network allowlist,Anonymous/Network allowlist,—,Health,match,
