Wave,Source row,Requirement,Type,Module,Module name,Requirement title,API status,API operationId,API path (method),Permission,Server handler (planned),Screen (Stage 3.5),FLOW (Stage 3.5),Acceptance criteria (AC),Test type,Priority,Source,Disposition reason,Gap reference
A,wave-a.csv:174,SYNC-009,SYNC,MOD-009,Календарь,"Синхронизация модуля: bootstrap/incremental sync, ack, cursor, scope invalidation",api,POST_api_v1_sync_ack,POST /api/v1/sync/ack,—,OrganizerController.POST_api_v1_sync_ack,SCR-040 Календарь; SCR-041 Календарь: день; SCR-042 Календарь: неделя; SCR-043 Календарь: месяц; SCR-044 Редактор CalendarEvent; SCR-045 Фильтры календаря; SCR-046 Предупреждение overlap; SCR-047 Conflict после drag/resize,FLOW-031 Создание CalendarEvent; FLOW-032 Drag/resize календаря,AC-1878;AC-2513;AC-2514;AC-2515;AC-2516;AC-2517;AC-2518;AC-2519;AC-2520;AC-2521;AC-2522;AC-2523;AC-2524,Desktop/resilience,High,ADR-005/015; DEC-006/032,,
A,wave-a.csv:175,AUDIT-009,AUDIT,MOD-009,Календарь,"Аудит и история действий модуля (append-only, redaction-aware)",gap,,,—,,SCR-040 Календарь; SCR-041 Календарь: день; SCR-042 Календарь: неделя; SCR-043 Календарь: месяц; SCR-044 Редактор CalendarEvent; SCR-045 Фильтры календаря; SCR-046 Предупреждение overlap; SCR-047 Conflict после drag/resize,FLOW-031 Создание CalendarEvent; FLOW-032 Drag/resize календаря,AC-1899;AC-2771;AC-2772;AC-2773;AC-2774;AC-2775;AC-2776;AC-2777;AC-2778;AC-2779;AC-2780;AC-2781;AC-2782,Audit/security,Critical,Architecture audit principles; OpenAPI side effects,Source names domain/audit endpoints but does not identify operationId.,wave-a.csv:175; Source=Architecture audit principles; OpenAPI side effects
A,wave-a.csv:176,BR-047,BR,MOD-009,Календарь,Overlap разрешён и только предупреждается.,no_api,,,—,,SCR-040 Календарь; SCR-041 Календарь: день; SCR-042 Календарь: неделя; SCR-043 Календарь: месяц; SCR-044 Редактор CalendarEvent; SCR-045 Фильтры календаря; SCR-046 Предупреждение overlap; SCR-047 Conflict после drag/resize,FLOW-031 Создание CalendarEvent; FLOW-032 Drag/resize календаря,AC-047,Integration/domain,High,"§12, §27.1.18, §29; Stage 3.5",Source row does not associate this requirement with an API operation.,
A,wave-a.csv:177,BR-048,BR,MOD-009,Календарь,Date-only Task отображается вне временной шкалы.,no_api,,,—,,SCR-040 Календарь; SCR-041 Календарь: день; SCR-042 Календарь: неделя; SCR-043 Календарь: месяц; SCR-044 Редактор CalendarEvent; SCR-045 Фильтры календаря; SCR-046 Предупреждение overlap; SCR-047 Conflict после drag/resize,FLOW-031 Создание CalendarEvent; FLOW-032 Drag/resize календаря,AC-048,Integration/domain,High,"§12, §27.1.18, §29; Stage 3.5",Source row does not associate this requirement with an API operation.,
A,wave-a.csv:178,BR-049,BR,MOD-009,Календарь,Deadline не используется как позиция на timeline.,no_api,,,—,,SCR-040 Календарь; SCR-041 Календарь: день; SCR-042 Календарь: неделя; SCR-043 Календарь: месяц; SCR-044 Редактор CalendarEvent; SCR-045 Фильтры календаря; SCR-046 Предупреждение overlap; SCR-047 Conflict после drag/resize,FLOW-031 Создание CalendarEvent; FLOW-032 Drag/resize календаря,AC-049,Integration/domain,High,"§12, §27.1.18, §29; Stage 3.5",Source row does not associate this requirement with an API operation.,
A,wave-a.csv:179,BR-050,BR,MOD-009,Календарь,Все локальные времена интерпретируются с timezone.,no_api,,,—,,SCR-040 Календарь; SCR-041 Календарь: день; SCR-042 Календарь: неделя; SCR-043 Календарь: месяц; SCR-044 Редактор CalendarEvent; SCR-045 Фильтры календаря; SCR-046 Предупреждение overlap; SCR-047 Conflict после drag/resize,FLOW-031 Создание CalendarEvent; FLOW-032 Drag/resize календаря,AC-050,Integration/domain,High,"§12, §27.1.18, §29; Stage 3.5",Source row does not associate this requirement with an API operation.,
A,wave-a.csv:180,FR-071,FR,MOD-009,Календарь,Система должна позволять пользователю с capability `Calendar.Read` выполнить действие «Объединённая проекция Task + Event» и считать его успешным только после подтверждения сервера.,api,GET_api_v1_calendar,GET /api/v1/calendar,Calendar.Read,OrganizerController.GET_api_v1_calendar,SCR-040 Календарь; SCR-041 Календарь: день; SCR-042 Календарь: неделя; SCR-043 Календарь: месяц; SCR-044 Редактор CalendarEvent; SCR-045 Фильтры календаря; SCR-046 Предупреждение overlap; SCR-047 Conflict после drag/resize,FLOW-031 Создание CalendarEvent; FLOW-032 Drag/resize календаря,AC-471;AC-472;AC-473;AC-474,Contract/integration; Security/authorization; Security/session; Contract/UI,High; Critical,OpenAPI `GET_api_v1_calendar`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:181,FR-072,FR,MOD-009,Календарь,Система должна позволять пользователю с capability `Calendar.Read` выполнить действие «Список календарное событие» и считать его успешным только после подтверждения сервера.,api,GET_api_v1_calendar_events,GET /api/v1/calendar-events,Calendar.Read,OrganizerController.GET_api_v1_calendar_events,SCR-040 Календарь; SCR-041 Календарь: день; SCR-042 Календарь: неделя; SCR-043 Календарь: месяц; SCR-044 Редактор CalendarEvent; SCR-045 Фильтры календаря; SCR-046 Предупреждение overlap; SCR-047 Conflict после drag/resize,FLOW-031 Создание CalendarEvent; FLOW-032 Drag/resize календаря,AC-475;AC-476;AC-477,Contract/integration; Security/authorization; Security/session,High; Critical,OpenAPI `GET_api_v1_calendar_events`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:182,FR-073,FR,MOD-009,Календарь,Система должна позволять пользователю с capability `CalendarEvent.Create` выполнить действие «Создать календарное событие» и считать его успешным только после подтверждения сервера.,api,POST_api_v1_calendar_events,POST /api/v1/calendar-events,CalendarEvent.Create,OrganizerController.POST_api_v1_calendar_events,SCR-044 Редактор CalendarEvent,FLOW-031 Создание CalendarEvent,AC-478;AC-479;AC-480;AC-481;AC-482;AC-483;AC-484,Contract/integration; Security/authorization; Security/session; Contract/UI; Concurrency/integration; Desktop/resilience; Integration,Critical; High,OpenAPI `POST_api_v1_calendar_events`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:183,FR-074,FR,MOD-009,Календарь,Система должна позволять пользователю с capability `CalendarEvent.Delete` выполнить действие «Переместить календарное событие в корзину» и считать его успешным только после подтверждения сервера.,api,DELETE_api_v1_calendar_events_id,DELETE /api/v1/calendar-events/{id},CalendarEvent.Delete,OrganizerController.DELETE_api_v1_calendar_events_id,SCR-040 Календарь; SCR-041 Календарь: день; SCR-042 Календарь: неделя; SCR-043 Календарь: месяц; SCR-044 Редактор CalendarEvent; SCR-045 Фильтры календаря; SCR-046 Предупреждение overlap; SCR-047 Conflict после drag/resize,FLOW-027 Перемещение в корзину,AC-485;AC-486;AC-487;AC-488;AC-489;AC-490,Contract/integration; Security/authorization; Security/session; Concurrency/integration; Desktop/resilience; Lifecycle/integration,Critical; High,OpenAPI `DELETE_api_v1_calendar_events_id`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:184,FR-075,FR,MOD-009,Календарь,Система должна позволять пользователю с capability `Calendar.Read` выполнить действие «Получить календарное событие» и считать его успешным только после подтверждения сервера.,api,GET_api_v1_calendar_events_id,GET /api/v1/calendar-events/{id},Calendar.Read,OrganizerController.GET_api_v1_calendar_events_id,SCR-044 Редактор CalendarEvent,FLOW-031 Создание CalendarEvent; FLOW-032 Drag/resize календаря,AC-491;AC-492;AC-493,Contract/integration; Security/authorization; Security/session,High; Critical,OpenAPI `GET_api_v1_calendar_events_id`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:185,FR-076,FR,MOD-009,Календарь,Система должна позволять пользователю с capability `CalendarEvent.Update` выполнить действие «Изменить календарное событие» и считать его успешным только после подтверждения сервера.,api,PATCH_api_v1_calendar_events_id,PATCH /api/v1/calendar-events/{id},CalendarEvent.Update,OrganizerController.PATCH_api_v1_calendar_events_id,SCR-044 Редактор CalendarEvent; SCR-047 Conflict после drag/resize,FLOW-032 Drag/resize календаря,AC-494;AC-495;AC-496;AC-497;AC-498;AC-499;AC-500,Contract/integration; Security/authorization; Security/session; Contract/UI; Concurrency/integration; Desktop/resilience; Lifecycle/integration,Critical; High,OpenAPI `PATCH_api_v1_calendar_events_id`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:186,FR-077,FR,MOD-009,Календарь,Система должна позволять пользователю с capability `CalendarEvent.Update` выполнить действие «Архивировать календарное событие» и считать его успешным только после подтверждения сервера.,api,POST_api_v1_calendar_events_id_archive,POST /api/v1/calendar-events/{id}/archive,CalendarEvent.Update,OrganizerController.POST_api_v1_calendar_events_id_archive,SCR-040 Календарь; SCR-041 Календарь: день; SCR-042 Календарь: неделя; SCR-043 Календарь: месяц; SCR-044 Редактор CalendarEvent; SCR-045 Фильтры календаря; SCR-046 Предупреждение overlap; SCR-047 Conflict после drag/resize,FLOW-026 Архивирование,AC-501;AC-502;AC-503;AC-504;AC-505;AC-506;AC-507;AC-508,Contract/integration; Security/authorization; Security/session; Contract/UI; Concurrency/integration; Desktop/resilience; Integration; Lifecycle/integration,Critical; High,OpenAPI `POST_api_v1_calendar_events_id_archive`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:187,FR-078,FR,MOD-009,Календарь,Система должна позволять пользователю с capability `CalendarEvent.Update` выполнить действие «Заменить участников события» и считать его успешным только после подтверждения сервера.,api,PUT_api_v1_calendar_events_id_attendees,PUT /api/v1/calendar-events/{id}/attendees,CalendarEvent.Update,OrganizerController.PUT_api_v1_calendar_events_id_attendees,SCR-044 Редактор CalendarEvent,FLOW-031 Создание CalendarEvent; FLOW-032 Drag/resize календаря,AC-509;AC-510;AC-511;AC-512;AC-513;AC-514;AC-515;AC-516,Contract/integration; Security/authorization; Security/session; Contract/UI; Concurrency/integration; Desktop/resilience; Integration; Lifecycle/integration,Critical; High,OpenAPI `PUT_api_v1_calendar_events_id_attendees`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:188,FR-079,FR,MOD-009,Календарь,Система должна позволять пользователю с capability `CalendarEvent.Respond` выполнить действие «Ответить на приглашение» и считать его успешным только после подтверждения сервера.,api,POST_api_v1_calendar_events_id_respond,POST /api/v1/calendar-events/{id}/respond,CalendarEvent.Respond,OrganizerController.POST_api_v1_calendar_events_id_respond,SCR-044 Редактор CalendarEvent,FLOW-031 Создание CalendarEvent; FLOW-032 Drag/resize календаря,AC-517;AC-518;AC-519;AC-520;AC-521;AC-522;AC-523;AC-524,Contract/integration; Security/authorization; Security/session; Contract/UI; Concurrency/integration; Desktop/resilience; Integration; Lifecycle/integration,Critical; High,OpenAPI `POST_api_v1_calendar_events_id_respond`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:189,FR-080,FR,MOD-009,Календарь,Система должна позволять пользователю с capability `CalendarEvent.Delete` выполнить действие «Восстановить календарное событие» и считать его успешным только после подтверждения сервера.,api,POST_api_v1_calendar_events_id_restore,POST /api/v1/calendar-events/{id}/restore,CalendarEvent.Delete,OrganizerController.POST_api_v1_calendar_events_id_restore,SCR-040 Календарь; SCR-041 Календарь: день; SCR-042 Календарь: неделя; SCR-043 Календарь: месяц; SCR-044 Редактор CalendarEvent; SCR-045 Фильтры календаря; SCR-046 Предупреждение overlap; SCR-047 Conflict после drag/resize,FLOW-028 Восстановление из корзины,AC-525;AC-526;AC-527;AC-528;AC-529;AC-530;AC-531;AC-532,Contract/integration; Security/authorization; Security/session; Contract/UI; Concurrency/integration; Desktop/resilience; Integration; Lifecycle/integration,Critical; High,OpenAPI `POST_api_v1_calendar_events_id_restore`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:190,FR-081,FR,MOD-009,Календарь,Система должна позволять пользователю с capability `CalendarEvent.Update` выполнить действие «Вернуть календарное событие из архива» и считать его успешным только после подтверждения сервера.,api,POST_api_v1_calendar_events_id_unarchive,POST /api/v1/calendar-events/{id}/unarchive,CalendarEvent.Update,OrganizerController.POST_api_v1_calendar_events_id_unarchive,SCR-040 Календарь; SCR-041 Календарь: день; SCR-042 Календарь: неделя; SCR-043 Календарь: месяц; SCR-044 Редактор CalendarEvent; SCR-045 Фильтры календаря; SCR-046 Предупреждение overlap; SCR-047 Conflict после drag/resize,FLOW-026 Архивирование,AC-533;AC-534;AC-535;AC-536;AC-537;AC-538,Contract/integration; Security/authorization; Security/session; Concurrency/integration; Desktop/resilience; Lifecycle/integration,Critical; High,OpenAPI `POST_api_v1_calendar_events_id_unarchive`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:191,FR-082,FR,MOD-009,Календарь,Система должна позволять пользователю с capability `Calendar.Read` выполнить действие «Пересечения расписания» и считать его успешным только после подтверждения сервера.,api,GET_api_v1_calendar_conflicts,GET /api/v1/calendar/conflicts,Calendar.Read,OrganizerController.GET_api_v1_calendar_conflicts,SCR-040 Календарь; SCR-041 Календарь: день; SCR-042 Календарь: неделя; SCR-043 Календарь: месяц; SCR-044 Редактор CalendarEvent; SCR-045 Фильтры календаря; SCR-046 Предупреждение overlap; SCR-047 Conflict после drag/resize,FLOW-031 Создание CalendarEvent; FLOW-032 Drag/resize календаря,AC-539;AC-540;AC-541;AC-542,Contract/integration; Security/authorization; Security/session; Contract/UI,High; Critical,OpenAPI `GET_api_v1_calendar_conflicts`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:192,FR-254,FR,MOD-009,Календарь,Каждое drag/resize действие должно иметь keyboard-equivalent dialog с теми же полями.,no_api,,,Capability-driven; server recheck для команд,,SCR-040 Календарь; SCR-041 Календарь: день; SCR-042 Календарь: неделя; SCR-043 Календарь: месяц; SCR-044 Редактор CalendarEvent; SCR-045 Фильтры календаря; SCR-046 Предупреждение overlap; SCR-047 Conflict после drag/resize,FLOW-031 Создание CalendarEvent; FLOW-032 Drag/resize календаря,AC-1417,Desktop/UI,High,Stage 3.5 UX Architecture/Decision Log,Desktop-only requirement; source explicitly states that no new API is required.,
A,wave-a.csv:209,AC-016,AC,MOD-001,Авторизация и сессии,Проверить бизнес-правило: Каждый сотрудник использует отдельную учётную запись.,no_api,,,—,,SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,,Integration/domain,High,"§§3.2, 24, 25, 29; Stage 3.5",Source row does not associate this requirement with an API operation.,
A,wave-a.csv:210,AC-017,AC,MOD-001,Авторизация и сессии,Проверить бизнес-правило: Refresh token ротируется; повторное использование завершает семейство сессий.,no_api,,,—,,SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,,Integration/domain,High,"§§3.2, 24, 25, 29; Stage 3.5",Source row does not associate this requirement with an API operation.,
A,wave-a.csv:211,AC-018,AC,MOD-001,Авторизация и сессии,Проверить бизнес-правило: Блокировка или деактивация пользователя отзывает активные сессии.,no_api,,,—,,SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,,Integration/domain,High,"§§3.2, 24, 25, 29; Stage 3.5",Source row does not associate this requirement with an API operation.,
A,wave-a.csv:212,AC-019,AC,MOD-001,Авторизация и сессии,"Проверить бизнес-правило: Клиент не раскрывает, логин или пароль были неверны.",no_api,,,—,,SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,,Integration/domain,High,"§§3.2, 24, 25, 29; Stage 3.5",Source row does not associate this requirement with an API operation.,
A,wave-a.csv:213,AC-098,AC,MOD-001,Авторизация и сессии,Happy path: Администратор задаёт временный пароль,api,POST_api_v1_auth_admin_reset_password,POST /api/v1/auth/admin-reset-password,User.ResetPassword,OrganizerController.POST_api_v1_auth_admin_reset_password,SCR-173 Создание/активация пользователя,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,,Contract/integration,Critical,OpenAPI `POST_api_v1_auth_admin_reset_password`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:214,AC-099,AC,MOD-001,Авторизация и сессии,[Forbidden (Stage 3.5 State Matrix)/ObjectUnavailable (Stage 3.5 State Matrix)] Permission denied: Администратор задаёт временный пароль не выполняется и данные не раскрываются,api,POST_api_v1_auth_admin_reset_password,POST /api/v1/auth/admin-reset-password,User.ResetPassword,OrganizerController.POST_api_v1_auth_admin_reset_password,SCR-173 Создание/активация пользователя,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,,Security/authorization,Critical,OpenAPI `POST_api_v1_auth_admin_reset_password`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:215,AC-100,AC,MOD-001,Авторизация и сессии,[Authentication/session error handling (Stage 3.5 error/UI rule)/Authentication/session error handling (Stage 3.5 error/UI rule)/Device-revocation error handling (Stage 3.5 error/UI rule)] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,api,POST_api_v1_auth_admin_reset_password,POST /api/v1/auth/admin-reset-password,User.ResetPassword,OrganizerController.POST_api_v1_auth_admin_reset_password,SCR-173 Создание/активация пользователя,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,,Security/session,Critical,OpenAPI `POST_api_v1_auth_admin_reset_password`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:216,AC-101,AC,MOD-001,Авторизация и сессии,[STATE-014/STATE-025] Conflict/precondition: устаревшая или отсутствующая контрактная версия/precondition не приводит к overwrite,api,POST_api_v1_auth_admin_reset_password,POST /api/v1/auth/admin-reset-password,User.ResetPassword,OrganizerController.POST_api_v1_auth_admin_reset_password,SCR-173 Создание/активация пользователя,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,,Concurrency/integration,Critical,OpenAPI `POST_api_v1_auth_admin_reset_password`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:217,AC-102,AC,MOD-001,Авторизация и сессии,[ServerUnavailable (Stage 3.5 State Matrix)/ServerUnavailable (cached read-only presentation) (Stage 3.5 State Matrix)/Reconnecting (Stage 3.5 State Matrix)] Server unavailable/read-only: команда Администратор задаёт временный пароль не ставится в offline queue,api,POST_api_v1_auth_admin_reset_password,POST /api/v1/auth/admin-reset-password,User.ResetPassword,OrganizerController.POST_api_v1_auth_admin_reset_password,SCR-173 Создание/активация пользователя,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,,Desktop/resilience,Critical,OpenAPI `POST_api_v1_auth_admin_reset_password`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:218,AC-103,AC,MOD-001,Авторизация и сессии,[Stable-error-specific recovery (Stage 3.5 error/UI rule)] Idempotency: повтор с тем же key/hash не создаёт двойной side effect,api,POST_api_v1_auth_admin_reset_password,POST /api/v1/auth/admin-reset-password,User.ResetPassword,OrganizerController.POST_api_v1_auth_admin_reset_password,SCR-173 Создание/активация пользователя,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,,Integration,Critical,OpenAPI `POST_api_v1_auth_admin_reset_password`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:219,AC-104,AC,MOD-001,Авторизация и сессии,Happy path: Смена собственного пароля,api,POST_api_v1_auth_change_password,POST /api/v1/auth/change-password,Authenticated,OrganizerController.POST_api_v1_auth_change_password,SCR-152 Пароль и безопасность,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,,Contract/integration,Critical,OpenAPI `POST_api_v1_auth_change_password`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:220,AC-105,AC,MOD-001,Авторизация и сессии,[Authentication/session error handling (Stage 3.5 error/UI rule)/Authentication/session error handling (Stage 3.5 error/UI rule)/Device-revocation error handling (Stage 3.5 error/UI rule)] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,api,POST_api_v1_auth_change_password,POST /api/v1/auth/change-password,Authenticated,OrganizerController.POST_api_v1_auth_change_password,SCR-152 Пароль и безопасность,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,,Security/session,Critical,OpenAPI `POST_api_v1_auth_change_password`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:221,AC-106,AC,MOD-001,Авторизация и сессии,[STATE-007] Validation: fieldErrors сохраняют draft и привязываются к canonical field path,api,POST_api_v1_auth_change_password,POST /api/v1/auth/change-password,Authenticated,OrganizerController.POST_api_v1_auth_change_password,SCR-152 Пароль и безопасность,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,,Contract/UI,High,OpenAPI `POST_api_v1_auth_change_password`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:222,AC-107,AC,MOD-001,Авторизация и сессии,[STATE-014/STATE-025] Conflict/precondition: устаревшая или отсутствующая контрактная версия/precondition не приводит к overwrite,api,POST_api_v1_auth_change_password,POST /api/v1/auth/change-password,Authenticated,OrganizerController.POST_api_v1_auth_change_password,SCR-152 Пароль и безопасность,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,,Concurrency/integration,Critical,OpenAPI `POST_api_v1_auth_change_password`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:223,AC-108,AC,MOD-001,Авторизация и сессии,[ServerUnavailable (Stage 3.5 State Matrix)/ServerUnavailable (cached read-only presentation) (Stage 3.5 State Matrix)/Reconnecting (Stage 3.5 State Matrix)] Server unavailable/read-only: команда Смена собственного пароля не ставится в offline queue,api,POST_api_v1_auth_change_password,POST /api/v1/auth/change-password,Authenticated,OrganizerController.POST_api_v1_auth_change_password,SCR-152 Пароль и безопасность,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,,Desktop/resilience,Critical,OpenAPI `POST_api_v1_auth_change_password`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:224,AC-109,AC,MOD-001,Авторизация и сессии,[Stable-error-specific recovery (Stage 3.5 error/UI rule)] Idempotency: повтор с тем же key/hash не создаёт двойной side effect,api,POST_api_v1_auth_change_password,POST /api/v1/auth/change-password,Authenticated,OrganizerController.POST_api_v1_auth_change_password,SCR-152 Пароль и безопасность,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,,Integration,Critical,OpenAPI `POST_api_v1_auth_change_password`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:225,AC-110,AC,MOD-001,Авторизация и сессии,Happy path: Вход по логину/паролю,api,POST_api_v1_auth_login,POST /api/v1/auth/login,Anonymous,OrganizerController.POST_api_v1_auth_login,SCR-001 Вход,FLOW-001 Первый вход,,Contract/integration,Critical,OpenAPI `POST_api_v1_auth_login`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:226,AC-111,AC,MOD-001,Авторизация и сессии,[ServerUnavailable (Stage 3.5 State Matrix)/ServerUnavailable (cached read-only presentation) (Stage 3.5 State Matrix)/Reconnecting (Stage 3.5 State Matrix)] Server unavailable/read-only: команда Вход по логину/паролю не ставится в offline queue,api,POST_api_v1_auth_login,POST /api/v1/auth/login,Anonymous,OrganizerController.POST_api_v1_auth_login,SCR-001 Вход,FLOW-001 Первый вход,,Desktop/resilience,Critical,OpenAPI `POST_api_v1_auth_login`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:227,AC-112,AC,MOD-001,Авторизация и сессии,[Stable-error-specific recovery (Stage 3.5 error/UI rule)] Idempotency: повтор с тем же key/hash не создаёт двойной side effect,api,POST_api_v1_auth_login,POST /api/v1/auth/login,Anonymous,OrganizerController.POST_api_v1_auth_login,SCR-001 Вход,FLOW-001 Первый вход,,Integration,Critical,OpenAPI `POST_api_v1_auth_login`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:228,AC-113,AC,MOD-001,Авторизация и сессии,Happy path: Журнал входов,api,GET_api_v1_auth_login_attempts,GET /api/v1/auth/login-attempts,SecurityAudit.Read,OrganizerController.GET_api_v1_auth_login_attempts,SCR-181 Sessions и login attempts,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,,Contract/integration,High,OpenAPI `GET_api_v1_auth_login_attempts`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:229,AC-114,AC,MOD-001,Авторизация и сессии,[Forbidden (Stage 3.5 State Matrix)/ObjectUnavailable (Stage 3.5 State Matrix)] Permission denied: Журнал входов не выполняется и данные не раскрываются,api,GET_api_v1_auth_login_attempts,GET /api/v1/auth/login-attempts,SecurityAudit.Read,OrganizerController.GET_api_v1_auth_login_attempts,SCR-181 Sessions и login attempts,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,,Security/authorization,Critical,OpenAPI `GET_api_v1_auth_login_attempts`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:230,AC-115,AC,MOD-001,Авторизация и сессии,[Authentication/session error handling (Stage 3.5 error/UI rule)/Authentication/session error handling (Stage 3.5 error/UI rule)/Device-revocation error handling (Stage 3.5 error/UI rule)] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,api,GET_api_v1_auth_login_attempts,GET /api/v1/auth/login-attempts,SecurityAudit.Read,OrganizerController.GET_api_v1_auth_login_attempts,SCR-181 Sessions и login attempts,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,,Security/session,Critical,OpenAPI `GET_api_v1_auth_login_attempts`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:231,AC-116,AC,MOD-001,Авторизация и сессии,Happy path: Завершить текущую сессию,api,POST_api_v1_auth_logout,POST /api/v1/auth/logout,Authenticated,OrganizerController.POST_api_v1_auth_logout,SCR-161 Мои devices и sessions,FLOW-003 Истечение сессии,,Contract/integration,Critical,OpenAPI `POST_api_v1_auth_logout`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:232,AC-117,AC,MOD-001,Авторизация и сессии,[Authentication/session error handling (Stage 3.5 error/UI rule)/Authentication/session error handling (Stage 3.5 error/UI rule)/Device-revocation error handling (Stage 3.5 error/UI rule)] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,api,POST_api_v1_auth_logout,POST /api/v1/auth/logout,Authenticated,OrganizerController.POST_api_v1_auth_logout,SCR-161 Мои devices и sessions,FLOW-003 Истечение сессии,,Security/session,Critical,OpenAPI `POST_api_v1_auth_logout`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:233,AC-118,AC,MOD-001,Авторизация и сессии,[ServerUnavailable (Stage 3.5 State Matrix)/ServerUnavailable (cached read-only presentation) (Stage 3.5 State Matrix)/Reconnecting (Stage 3.5 State Matrix)] Server unavailable/read-only: команда Завершить текущую сессию не ставится в offline queue,api,POST_api_v1_auth_logout,POST /api/v1/auth/logout,Authenticated,OrganizerController.POST_api_v1_auth_logout,SCR-161 Мои devices и sessions,FLOW-003 Истечение сессии,,Desktop/resilience,Critical,OpenAPI `POST_api_v1_auth_logout`; Stage_3_Field_Traceability_Final_3.5.csv,,
