module,method,path,purpose,permission,request,response,codes,idempotency,transaction,locking,effects,events
projects,GET,/api/v1/projects/{id},Получить проект,Project.Read,path:id,Project,"200,401,403,404",Safe,Read-only,—,—,—
projects,PATCH,/api/v1/projects/{id},Изменить проект,Project.Update,ProjectPatch,Project,"200,400,401,403,404,409,412,422,428",Conditional,Single aggregate tx,If-Match required,"audit,domain-event,outbox",ProjectUpdated
projects,POST,/api/v1/projects/{id}/archive,Архивировать проект,Project.Archive,ArchiveRequest,Project,"200,401,403,404,409,412,422,428",Idempotency-Key,Object + archive tx,If-Match required,hide from active,ProjectArchived
projects,GET,/api/v1/projects/{id}/history,История проекта,History.Read,"query:cursor,page",Page<HistoryEntry>,"200,401,403,404",Safe,Read-only,—,—,—
projects,GET,/api/v1/projects/{id}/members,Участники проекта,Project.ManageMembers,"query:status,page",Page<ProjectMember>,"200,401,403,404",Safe,Read-only,—,—,—
projects,POST,/api/v1/projects/{id}/members,Добавить участника,Project.ManageMembers,ProjectMemberCreate,ProjectMember,"201,400,401,403,404,409,412,422,428",Idempotency-Key,Project membership tx,If-Match project,"scope version++,notify",ProjectMemberAdded
projects,DELETE,/api/v1/projects/{id}/members/{userId},Удалить участника,Project.ManageMembers,—,204,"204,401,403,404,409,412,422,428",Idempotent,Project membership tx,If-Match project,"scope version++,cache invalidation",ProjectMemberRemoved
projects,PATCH,/api/v1/projects/{id}/members/{userId},Изменить роль участника,Project.ManageMembers,ProjectMemberPatch,ProjectMember,"200,400,401,403,404,409,412,422,428",Idempotency-Key,Project membership tx,If-Match member/project,"scope version++,notify",ProjectMemberRoleChanged
projects,PUT,/api/v1/projects/{id}/members/{userId}/overrides,Задать permission overrides,Project.ManageMembers,PermissionOverrides,ProjectMember,"200,400,401,403,404,409,412,422,428",Idempotency-Key,Authorization tx,If-Match member,scope version++,ProjectMemberPermissionsChanged
projects,POST,/api/v1/projects/{id}/restore,Восстановить проект,Project.Restore,RestoreRequest,Project,"200,401,403,404,409,412,422,428",Idempotency-Key,Object + trash tx,If-Match/trashed version,"reindex,invalidate",ProjectRestored
projects,POST,/api/v1/projects/{id}/transfer-ownership,Передать владение проектом,Project.TransferOwnership,TransferOwnershipRequest,Project,"200,400,401,403,404,409,412,422,428",Idempotency-Key,Project+membership tx,If-Match project,"notify,scope version++",ProjectOwnershipTransferred
projects,POST,/api/v1/projects/{id}/unarchive,Вернуть проект из архива,Project.Archive,—,Project,"200,401,403,404,409,412,428",Idempotent,Object + archive tx,If-Match required,reindex,ProjectUnarchived
sync,GET,/api/v1/realtime/negotiate,Параметры WebSocket/realtime,Authenticated,query:cursor,RealtimeNegotiation,"200,401,403,409",Safe,Read-only,—,—,—
recurrence,GET,/api/v1/recurrence-series,Список серию повторений,Task.Read,"query: filter,sort,page,cursor",Page<RecurrenceSeries>,"200,400,401,403",Safe,Read-only,—,—,—
recurrence,POST,/api/v1/recurrence-series,Создать серию повторений,Task.ManageRecurrence,RecurrenceSeriesCreate,RecurrenceSeries,"201,400,401,403,409,422",Idempotency-Key,Single aggregate tx,—,"audit,domain-event,outbox",RecurrenceSeriesCreated
recurrence,DELETE,/api/v1/recurrence-series/{id},Отменить серию без помещения в универсальную корзину,Task.ManageRecurrence,path:id,RecurrenceSeries,"202,401,403,404,409,412,428",Idempotent,Object + trash tx,If-Match required,hide from active/search,RecurrenceSeriesCancelled
recurrence,GET,/api/v1/recurrence-series/{id},Получить серию повторений,Task.Read,path:id,RecurrenceSeries,"200,401,403,404",Safe,Read-only,—,—,—
recurrence,PATCH,/api/v1/recurrence-series/{id},Изменить серию повторений,Task.ManageRecurrence,RecurrenceSeriesPatch,RecurrenceSeries,"200,400,401,403,404,409,412,422,428",Conditional,Single aggregate tx,If-Match required,"audit,domain-event,outbox",RecurrenceSeriesUpdated
recurrence,POST,/api/v1/recurrence-series/{id}/apply-change,Изменить one/future/all,Task.ManageRecurrence,RecurrenceScopedChange,RecurrenceChangeResult,"200,400,401,403,404,409,412,422,428",Idempotency-Key,Series+occurrences tx,If-Match series/task,exceptions/split series,RecurrenceSeriesChanged
recurrence,POST,/api/v1/recurrence-series/{id}/generate,Административно расширить горизонт,System.JobRun,GenerateOccurrencesRequest,GenerationSummary,"200,400,401,403,404,409",Idempotency-Key,Batched worker tx,advisory lock series,create tasks,RecurrenceOccurrencesGenerated
recurrence,POST,/api/v1/recurrence-series/{id}/preview,Предпросмотр будущих occurrence,Task.Read,RecurrencePreviewRequest,OccurrencePreview[],"200,400,401,403,404,422",Safe,Read-only,—,—,—
recurrence,POST,/api/v1/recurrence-series/{id}/resume,Возобновить приостановленную серию,Task.ManageRecurrence,RestoreRequest,RecurrenceSeries,"200,401,403,404,409,412,422,428",Idempotency-Key,Object + trash tx,If-Match/trashed version,"reindex,invalidate",RecurrenceSeriesRestored
recurrence,POST,/api/v1/recurrence-series/{id}/skip/{occurrenceKey},Пропустить экземпляр,Task.ManageRecurrence,SkipOccurrenceRequest,RecurrenceOccurrence,"200,400,401,403,404,409,412,428",Idempotency-Key,Series occurrence tx,If-Match series,cancel reminders,RecurrenceOccurrenceSkipped
reminders,GET,/api/v1/reminders,Список напоминание,Reminder.ManageOwn,"query: filter,sort,page,cursor",Page<Reminder>,"200,400,401,403",Safe,Read-only,—,—,—
reminders,POST,/api/v1/reminders,Создать напоминание,Reminder.ManageOwn,ReminderCreate,Reminder,"201,400,401,403,409,422",Idempotency-Key,Single aggregate tx,—,"audit,domain-event,outbox",ReminderCreated
reminders,GET,/api/v1/reminders/upcoming,Ближайшие напоминания,Reminder.ManageOwn,"query:until,limit",ReminderOccurrence[],"200,400,401,403",Safe,Read-only,—,—,—
reminders,DELETE,/api/v1/reminders/{id},Отменить напоминание,Reminder.ManageOwn,path:id,Reminder,"202,401,403,404,409,412,428",Idempotent,Object + trash tx,If-Match required,hide from active/search,ReminderCancelled
reminders,GET,/api/v1/reminders/{id},Получить напоминание,Reminder.ManageOwn,path:id,Reminder,"200,401,403,404",Safe,Read-only,—,—,—
reminders,PATCH,/api/v1/reminders/{id},Изменить напоминание,Reminder.ManageOwn,ReminderPatch,Reminder,"200,400,401,403,404,409,412,422,428",Conditional,Single aggregate tx,If-Match required,"audit,domain-event,outbox",ReminderUpdated
reminders,POST,/api/v1/reminders/{id}/dismiss,Закрыть срабатывание,Reminder.ManageOwn,DismissReminderRequest,204,"204,401,403,404,409,412,428",Idempotent,Reminder tx,If-Match occurrence,cancel pending delivery,ReminderDismissed
reminders,POST,/api/v1/reminders/{id}/reschedule,Перепланировать отменённое напоминание,Reminder.ManageOwn,RestoreRequest,Reminder,"200,401,403,404,409,412,422,428",Idempotency-Key,Object + trash tx,If-Match/trashed version,"reindex,invalidate",ReminderRestored
reminders,POST,/api/v1/reminders/{id}/snooze,Отложить напоминание,Reminder.ManageOwn,SnoozeRequest,ReminderOccurrence,"200,400,401,403,404,409,412,422,428",Idempotency-Key,Reminder tx,If-Match occurrence,schedule new occurrence,ReminderSnoozed
roles,GET,/api/v1/roles,Список системную роль,Role.Read,"query: filter,sort,page,cursor",Page<Role>,"200,400,401,403",Safe,Read-only,—,—,—
roles,POST,/api/v1/roles,Создать системную роль,Role.Manage,RoleCreate,Role,"201,400,401,403,409,422",Idempotency-Key,Single aggregate tx,—,"audit,domain-event,outbox",RoleCreated
roles,DELETE,/api/v1/roles/{id},Деактивировать пользовательскую роль,Role.Manage,path:id,Role,"202,401,403,404,409,412,428",Idempotent,Object + trash tx,If-Match required,hide from active/search,RoleDeactivated
roles,GET,/api/v1/roles/{id},Получить системную роль,Role.Read,path:id,Role,"200,401,403,404",Safe,Read-only,—,—,—
roles,PATCH,/api/v1/roles/{id},Изменить системную роль,Role.Manage,RolePatch,Role,"200,400,401,403,404,409,412,422,428",Conditional,Single aggregate tx,If-Match required,"audit,domain-event,outbox",RoleUpdated
roles,POST,/api/v1/roles/{id}/activate,Активировать неактивную роль,Role.Manage,RestoreRequest,Role,"200,401,403,404,409,412,422,428",Idempotency-Key,Object + trash tx,If-Match/trashed version,"reindex,invalidate",RoleRestored
roles,PUT,/api/v1/roles/{id}/permissions,Заменить разрешения роли,Role.Manage,PermissionCodes,Role,"200,400,401,403,404,409,412,422,428",Idempotency-Key,Role tx,If-Match,authorization scope version++,RolePermissionsChanged
search,GET,/api/v1/search,Глобальный авторизационный поиск,Search.Use,"query:q,types,projectIds,userIds,departments,contactIds,hasFiles,lifecycle,from,to,cursor,limit",SearchPage,"200,400,401,403,410,422",Safe,Read-only cursor snapshot,—,server-side filters; cursor bound to normalized filters and authorization scope,—
search,GET,/api/v1/search/suggestions,Подсказки по префиксу,Search.Use,"query:q,types,limit",SearchSuggestion[],"200,400,401,403",Safe,Read-only,—,—,—
settings,GET,/api/v1/settings/me,Пользовательские настройки,Settings.ReadOwn,—,UserSettings,"200,401",Safe,Read-only,—,—,—
settings,PATCH,/api/v1/settings/me,Изменить пользовательские настройки,Settings.UpdateOwn,UserSettingsPatch,UserSettings,"200,400,401,409,412,422,428",Idempotency-Key,Settings tx,If-Match,desktop reschedule,UserSettingsChanged
settings,GET,/api/v1/settings/organization,Настройки организации,Organization.Read,—,OrganizationSettings,"200,401,403",Safe,Read-only,—,—,—
settings,PATCH,/api/v1/settings/organization,Изменить настройки организации,Organization.Update,OrganizationSettingsPatch,OrganizationSettings,"200,400,401,403,409,412,422,428",Idempotency-Key,Settings tx,If-Match,capabilities/scope version,OrganizationSettingsChanged
sync,POST,/api/v1/sync/ack,Подтвердить применённый cursor,Sync.Read,SyncAck,204,"204,400,401,403,409,412,428",Idempotent,Cursor tx,If-Match state,compaction watermark input,SyncCursorAcknowledged
sync,POST,/api/v1/sync/bootstrap,Начальная авторизационная синхронизация,Sync.Read,SyncBootstrapRequest,SyncBatch,"200,400,401,403,409,413,422",Idempotency-Key,Repeatable read chunks,scope version,cache replace plan,SyncBootstrapped
sync,GET,/api/v1/sync/changes,Изменения после cursor,Sync.Read,"query:cursor,limit,scopeVersion",SyncBatch,"200,400,401,403,409,410,422",Safe,Read-only snapshot,—,—,—
health,GET,/api/v1/system/time,Серверное UTC-время,Authenticated,—,ServerTime,"200,401",Safe,Read-only,—,—,—
health,GET,/api/v1/system/version,Версия сервера/API/схемы,Authenticated,—,SystemVersion,"200,401",Safe,Read-only,—,—,—
tags,GET,/api/v1/tags,Список тег,Tag.Read,"query: filter,sort,page,cursor",Page<Tag>,"200,400,401,403",Safe,Read-only,—,—,—
tags,POST,/api/v1/tags,Создать тег,Tag.Manage,TagCreate,Tag,"201,400,401,403,409,422",Idempotency-Key,Single aggregate tx,—,"audit,domain-event,outbox",TagCreated
tags,DELETE,/api/v1/tags/{id},Переместить тег в корзину,Tag.Manage,path:id,DeletionReceipt,"202,401,403,404,409,412,428",Idempotent,Object + trash tx,If-Match required,hide from active/search,TagDeleted
tags,GET,/api/v1/tags/{id},Получить тег,Tag.Read,path:id,Tag,"200,401,403,404",Safe,Read-only,—,—,—
tags,PATCH,/api/v1/tags/{id},Изменить тег,Tag.Manage,TagPatch,Tag,"200,400,401,403,404,409,412,422,428",Conditional,Single aggregate tx,If-Match required,"audit,domain-event,outbox",TagUpdated
tags,POST,/api/v1/tags/{id}/restore,Восстановить тег,Tag.Manage,RestoreRequest,Tag,"200,401,403,404,409,412,422,428",Idempotency-Key,Object + trash tx,If-Match/trashed version,"reindex,invalidate",TagRestored
tasks,GET,/api/v1/tasks,Список задачу,Task.Read,"query: filter,sort,page,cursor",Page<Task>,"200,400,401,403",Safe,Read-only,—,—,—
tasks,POST,/api/v1/tasks,Создать задачу,Task.Create,TaskCreate,Task,"201,400,401,403,409,422",Idempotency-Key,Single aggregate tx,—,"audit,domain-event,outbox",TaskCreated
tasks,POST,/api/v1/tasks/bulk-transition,Пакетная смена статуса,Task.ChangeStatus,BulkTaskTransition,BulkOperationResult,"200,207,400,401,403,409,412,422,428",Idempotency-Key,"Per-item tx, max100",Per-item If-Match,events per success,TaskStatusChanged
tasks,DELETE,/api/v1/tasks/{id},Переместить задачу в корзину,Task.Delete,path:id,DeletionReceipt,"202,401,403,404,409,412,428",Idempotent,Object + trash tx,If-Match required,hide from active/search,TaskDeleted
tasks,GET,/api/v1/tasks/{id},Получить задачу,Task.Read,path:id,Task,"200,401,403,404",Safe,Read-only,—,—,—
tasks,PATCH,/api/v1/tasks/{id},Изменить задачу,Task.Update,TaskPatch,Task,"200,400,401,403,404,409,412,422,428",Conditional,Single aggregate tx,If-Match required,"audit,domain-event,outbox",TaskUpdated
tasks,POST,/api/v1/tasks/{id}/archive,Архивировать задачу,Task.Archive,ArchiveRequest,Task,"200,401,403,404,409,412,422,428",Idempotency-Key,Object + archive tx,If-Match required,hide from active,TaskArchived
tasks,PUT,/api/v1/tasks/{id}/assignees,Заменить исполнителей,Task.Assign,TaskAssigneesReplace,Task,"200,400,401,403,404,409,412,422,428",Idempotency-Key,Task aggregate tx,If-Match required,"notify,watcher visibility",TaskAssigneesChanged
tasks,POST,/api/v1/tasks/{id}/dependencies,Добавить зависимость,Task.Update,TaskDependencyCreate,TaskDependency,"201,400,401,403,404,409,412,422,428",Idempotency-Key,Two-task validation tx,If-Match task,cycle check,TaskDependencyAdded
tasks,DELETE,/api/v1/tasks/{id}/dependencies/{dependencyId},Удалить зависимость,Task.Update,—,204,"204,401,403,404,409,412,428",Idempotent,Task tx,If-Match task,—,TaskDependencyRemoved
tasks,GET,/api/v1/tasks/{id}/history,История задачи,History.Read,"query:cursor,page",Page<HistoryEntry>,"200,401,403,404",Safe,Read-only,—,—,—
tasks,POST,/api/v1/tasks/{id}/move,Изменить дату/время/длительность,Task.Update,TaskMoveRequest,Task,"200,400,401,403,404,409,412,422,428",Idempotency-Key,Task tx,If-Match required,reschedule reminders,TaskScheduled
tasks,POST,/api/v1/tasks/{id}/restore,Восстановить задачу,Task.Restore,RestoreRequest,Task,"200,401,403,404,409,412,422,428",Idempotency-Key,Object + trash tx,If-Match/trashed version,"reindex,invalidate",TaskRestored
tasks,GET,/api/v1/tasks/{id}/subtasks,Список подзадач,Task.Read,query:sort,Task[],"200,401,403,404",Safe,Read-only,—,—,—
tasks,POST,/api/v1/tasks/{id}/subtasks,Создать подзадачу,Task.Create,TaskCreate,Task,"201,400,401,403,404,409,412,422,428",Idempotency-Key,Parent+child tx,If-Match parent,"depth check,notify",SubtaskCreated
tasks,POST,/api/v1/tasks/{id}/transition,Изменить статус задачи,Task.ChangeStatus,TaskTransitionRequest,Task,"200,400,401,403,404,409,412,422,428",Idempotency-Key,Task aggregate tx,If-Match required,"timestamps,notify,outbox",TaskStatusChanged
tasks,POST,/api/v1/tasks/{id}/unarchive,Вернуть задачу из архива,Task.Archive,—,Task,"200,401,403,404,409,412,428",Idempotent,Object + archive tx,If-Match required,reindex,TaskUnarchived
tasks,PUT,/api/v1/tasks/{id}/watchers,Заменить наблюдателей,Task.ManageWatchers,TaskWatchersReplace,Task,"200,400,401,403,404,409,412,428",Idempotency-Key,Task aggregate tx,If-Match required,notify/invalidate,TaskWatchersChanged
checklists,GET,/api/v1/tasks/{taskId}/checklists,Список чек-лист,Task.Read,"query: filter,sort,page,cursor",Page<Checklist>,"200,400,401,403",Safe,Read-only,—,—,—
checklists,POST,/api/v1/tasks/{taskId}/checklists,Создать чек-лист,Task.Update,ChecklistCreate,Checklist,"201,400,401,403,409,422",Idempotency-Key,Single aggregate tx,—,"audit,domain-event,outbox",ChecklistCreated
checklists,POST,/api/v1/tasks/{taskId}/checklists/{checklistId}/items,Добавить пункт чек-листа,Task.Update,ChecklistItemCreate,ChecklistItem,"201,400,401,403,404,409,412,422,428",Idempotency-Key,Task aggregate tx,If-Match task,renumber if needed,ChecklistItemCreated
checklists,DELETE,/api/v1/tasks/{taskId}/checklists/{checklistId}/items/{itemId},Удалить пункт,Task.Update,—,204,"204,401,403,404,409,412,428",Idempotent,Task aggregate tx,If-Match task,renumber optional,ChecklistItemDeleted
checklists,PATCH,/api/v1/tasks/{taskId}/checklists/{checklistId}/items/{itemId},Изменить/выполнить пункт,Task.ChangeStatus,ChecklistItemPatch,ChecklistItem,"200,400,401,403,404,409,412,422,428",Idempotency-Key,Task aggregate tx,If-Match task,completed_by/time,ChecklistItemChanged
checklists,POST,/api/v1/tasks/{taskId}/checklists/{checklistId}/reorder,Изменить порядок пунктов,Task.Update,OrderKeys,Checklist,"200,400,401,403,404,409,412,422,428",Idempotency-Key,Task aggregate tx,If-Match task,fractional order normalize,ChecklistReordered
checklists,DELETE,/api/v1/tasks/{taskId}/checklists/{id},Переместить чек-лист в корзину,Task.Update,path:id,DeletionReceipt,"202,401,403,404,409,412,428",Idempotent,Object + trash tx,If-Match required,hide from active/search,ChecklistDeleted
checklists,GET,/api/v1/tasks/{taskId}/checklists/{id},Получить чек-лист,Task.Read,path:id,Checklist,"200,401,403,404",Safe,Read-only,—,—,—
checklists,PATCH,/api/v1/tasks/{taskId}/checklists/{id},Изменить чек-лист,Task.Update,ChecklistPatch,Checklist,"200,400,401,403,404,409,412,422,428",Conditional,Single aggregate tx,If-Match required,"audit,domain-event,outbox",ChecklistUpdated
calendar,GET,/api/v1/today,Агрегированный read-model «Сегодня» в часовом поясе пользователя,Calendar.Read,"query:timezone,cursor,limit",TodayPage,"200,400,401,403,422",Safe,Read-only repeatable snapshot,—,—,—
trash,GET,/api/v1/trash,Корзина,Trash.Read,"query:type,deletedBy,purgeBefore,page",Page<TrashEntry>,"200,400,401,403",Safe,Read-only,—,—,—
trash,DELETE,/api/v1/trash/{objectId},Purge объекта после retention,Trash.Purge,PurgeRequest,BackgroundJobRun,"202,400,401,403,404,409,412,422,428",Idempotency-Key,Mark purge job tx,If-Match,background purge,ObjectPurgeRequested
trash,POST,/api/v1/trash/{objectId}/restore,Восстановить универсальный объект,Trash.Restore,RestoreRequest,ObjectReference,"200,400,401,403,404,409,412,422,428",Idempotency-Key,Object+trash tx,If-Match,"reindex,invalidate",ObjectRestored
users,GET,/api/v1/users,Список пользователя,User.Read,"query: filter,sort,page,cursor",Page<User>,"200,400,401,403",Safe,Read-only,—,—,—
users,POST,/api/v1/users,Создать пользователя,User.Create,UserCreate,User,"201,400,401,403,409,422",Idempotency-Key,Single aggregate tx,—,"audit,domain-event,outbox",UserCreated
users,GET,/api/v1/users/{id},Получить пользователя,User.Read,path:id,User,"200,401,403,404",Safe,Read-only,—,—,—
users,PATCH,/api/v1/users/{id},Изменить пользователя,User.Update,UserPatch,User,"200,400,401,403,404,409,412,422,428",Conditional,Single aggregate tx,If-Match required,"audit,domain-event,outbox",UserUpdated
users,POST,/api/v1/users/{id}/activate,Активировать учётную запись,User.Create,ActivationRequest,User,"200,401,403,404,409,412,422,428",Idempotency-Key,Account tx,If-Match,issue no session,UserActivated
users,POST,/api/v1/users/{id}/block,Заблокировать пользователя,User.Block,BlockUserRequest,User,"200,401,403,404,409,412,428",Idempotency-Key,Account + sessions tx,If-Match,"revoke sessions,scope version++",UserBlocked
users,POST,/api/v1/users/{id}/deactivate,Деактивировать учётную запись без удаления профиля,User.Block,DeactivateUserRequest,User,"200,401,403,404,409,412,428",Idempotency-Key,Account + sessions tx,If-Match required,revoke sessions; preserve history,UserDeactivated
users,GET,/api/v1/users/{id}/effective-permissions,Диагностика эффективных прав,Authorization.Explain,"query:objectType,objectId",EffectivePermissions,"200,400,401,403,404",Safe,Read-only,—,—,—
users,GET,/api/v1/users/{id}/history,История пользователя,History.Read,"query:cursor,page",Page<HistoryEntry>,"200,401,403,404",Safe,Read-only,—,—,—
users,POST,/api/v1/users/{id}/reactivate,Повторно активировать деактивированную учётную запись,User.Block,—,User,"200,401,403,404,409,412,428",Idempotent,Account tx,If-Match required,scope-version++,UserReactivated
roles,PUT,/api/v1/users/{id}/roles,Заменить scoped-роли пользователя,User.ManageRoles,UserRolesReplace,UserRole[],"200,400,401,403,404,409,412,422,428",Idempotency-Key,Authorization tx,If-Match user,"scope version++,realtime invalidate",UserRolesChanged
users,POST,/api/v1/users/{id}/unblock,Разблокировать пользователя,User.Block,—,User,"200,401,403,404,409,412,428",Idempotent,Account tx,If-Match,scope version++,UserUnblocked
health,GET,/health/details,Детальный health,System.HealthRead,—,HealthDetails,"200,401,403,503",Safe,Read-only probes,—,—,—
health,GET,/health/live,Liveness без зависимостей,Anonymous/Network allowlist,—,Health,"200,503",Safe,No DB required,—,—,—
health,GET,/health/ready,Readiness основных зависимостей,Anonymous/Network allowlist,—,Health,"200,503",Safe,Read-only probes,—,—,—
