Component ID,Component,Library path,Priority,Purpose,Anatomy,Required variants,State inputs,Required NFR,Keyboard contract,UIA contract,Scaling contract,Failure rule,Implementation readiness,Evidence,Remaining verification,Spec version
CMP-035,LifecycleBanner,Task/State/LifecycleBanner,P1,Explains active/completed/archived/trashed lifecycle and the actions still allowed.,Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,active | completed | archived | trashed,Archived; Trashed,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Never rely on color alone; state text and a safe recovery consequence are required.,Prototype-verified,work/stage_5_prototype/src/App.jsx#ProjectsSurface; work/stage_5_prototype/implementation-direction2-project-history.png,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-036,NotificationItem,Task/Domain/NotificationItem,P1,Shows unread/read notification context and rechecks the target before applying an action.,Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,unread | read | unavailable-target | action-failed,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005; NFR-024,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Recheck target/version/capability before action; changed targets show current state and no false success.,Prototype-verified,work/stage_5_prototype/src/App.jsx#NotificationCenter; work/stage_5_prototype/edge-notification-target-changed.png,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-037,SearchBox,Task/Core/SearchBox,P1,"Provides labelled query input, loading/results/no-results feedback and keyboard selection.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,idle | typing | loading | results | no-results,Loading; Empty; FilteredEmpty; PartialAccess,NFR-002; NFR-003; NFR-004; NFR-005; NFR-008; NFR-023; NFR-025,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,"Preserve accessible name, focus context and user input when the operation cannot complete.",Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-038,RedactionMarker,Task/State/RedactionMarker,P1,Explains partial or unavailable access without revealing protected identity or object data.,Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,partial-access | unavailable | anonymized,PartialAccess; ObjectUnavailable,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Server authorization is authoritative; hidden targets must not be disclosed.,Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-039,Pagination,Task/Pattern/Pagination,P1,"Moves through stable result pages, exposes current page and disables impossible directions.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,first | middle | last | loading,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005; NFR-006; NFR-023; NFR-025,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,"Preserve accessible name, focus context and user input when the operation cannot complete.",Prototype-verified,work/stage_5_prototype/src/App.jsx#TasksSurface; work/stage_5_prototype/implementation-direction2-tasks-final.png,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-040,PopoverSurface,Task/Pattern/PopoverSurface,P1,"Anchors a non-blocking surface, supports Escape/outside dismissal and returns focus to its invoker.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,open | loading | error | closing,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,"Preserve accessible name, focus context and user input when the operation cannot complete.",Prototype-verified,work/stage_5_prototype/src/App.jsx#NotificationCenter/ProfileMenu; work/stage_5_prototype/edge-notification-target-changed.png,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-041,ContextMenu,Task/Pattern/ContextMenu,P1,Shows only capability-safe contextual actions and provides disabled reasons when disclosure is allowed.,Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,available | capability-filtered | disabled-with-reason,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,"Preserve accessible name, focus context and user input when the operation cannot complete.",Prototype-verified,work/stage_5_prototype/src/App.jsx#TasksSurface; work/stage_5_prototype/design-qa-stage5-component-gaps.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-042,BulkResultSummary,Task/State/BulkResultSummary,P2,"Summarizes successful, failed and retryable batch outcomes without hiding partial failure.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,success | partial | failed | retryable,ObjectUnavailable,NFR-002; NFR-003; NFR-004; NFR-005; NFR-025,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Never rely on color alone; state text and a safe recovery consequence are required.,Prototype-verified,work/stage_5_prototype/src/App.jsx#TasksSurface; work/stage_5_prototype/implementation-direction2-bulk-actions.png,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-043,CommentThread,Task/Domain/CommentThread,P2,"Displays authorized comments, empty/loading states and safe unavailable behavior.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,loading | content | empty | unavailable,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Current server capability and object version remain authoritative.,Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-044,SelectionBar,Task/Pattern/SelectionBar,P2,Summarizes one/many selected items and exposes only actions valid for the current capability mix.,Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,single | multi | partial-capability | busy,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,"Preserve accessible name, focus context and user input when the operation cannot complete.",Prototype-verified,work/stage_5_prototype/src/App.jsx#TasksSurface; work/stage_5_prototype/implementation-direction2-bulk-actions.png,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-045,TreeView,Task/Pattern/TreeView,P2,Presents expandable hierarchy with selected/expanded semantics and safe loading/unavailable children.,Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,collapsed | expanded | loading-children | unavailable,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,"Preserve accessible name, focus context and user input when the operation cannot complete.",Prototype-verified,work/stage_5_prototype/src/App.jsx#ProjectsSurface; work/stage_5_prototype/implementation-direction2-projects-final.png,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
