AC ID,Module,FR/BR,Scenario,Priority,Test type,Source,Gherkin
AC-235,MOD-005,FR-032,[STATE-017] Happy path: Архивировать задачу,Critical,Contract/integration,OpenAPI `POST_api_v1_tasks_id_archive`; Stage_3_Field_Traceability.csv,"Given пользователь имеет `Task.Archive` и выполнены предусловия
When клиент отправляет `POST /api/v1/tasks/{id}/archive` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-236,MOD-005,FR-032,[STATE-008/STATE-009/STATE-017] Permission denied: Архивировать задачу не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `POST_api_v1_tasks_id_archive`; Stage_3_Field_Traceability.csv,"Given пользователь аутентифицирован, но не имеет `Task.Archive` или требуемой relation
When клиент запрашивает `POST /api/v1/tasks/{id}/archive`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-237,MOD-005,FR-032,[STATE-017/STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `POST_api_v1_tasks_id_archive`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `POST /api/v1/tasks/{id}/archive`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-238,MOD-005,FR-032,[STATE-007/STATE-017] Validation: fieldErrors сохраняют draft и привязываются к canonical field path,High,Contract/UI,OpenAPI `POST_api_v1_tasks_id_archive`; Stage_3_Field_Traceability.csv,"Given пользователь заполнил payload для `POST_api_v1_tasks_id_archive` с нарушением DTO constraint
When сервер возвращает VALIDATION_FAILED с fieldErrors
Then draft сохраняется, ошибки связываются с canonical field paths и фокус переходит к первой ошибке"
AC-239,MOD-005,FR-032,[STATE-014/STATE-017/STATE-025] Conflict/precondition: устаревшая или отсутствующая If-Match не приводит к overwrite,Critical,Concurrency/integration,OpenAPI `POST_api_v1_tasks_id_archive`; Stage_3_Field_Traceability.csv,"Given серверное состояние изменилось после загрузки клиентом
When клиент отправляет `POST /api/v1/tasks/{id}/archive` с устаревшей If-Match
Then сервер отклоняет команду без overwrite
And клиент сохраняет draft и предлагает refresh/compare/reapply или безопасный повтор"
AC-240,MOD-005,FR-032,[STATE-010/STATE-011/STATE-012] Server unavailable/read-only: команда Архивировать задачу не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `POST_api_v1_tasks_id_archive`; Stage_3_Field_Traceability.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Архивировать задачу»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-241,MOD-005,FR-032,[STATE-017/STATE-020] Idempotency: повтор с тем же key/hash не создаёт двойной side effect,Critical,Integration,OpenAPI `POST_api_v1_tasks_id_archive`; Stage_3_Field_Traceability.csv,"Given первая команда `POST_api_v1_tasks_id_archive` уже принята с idempotency key и payload hash
When клиент безопасно повторяет тот же key и payload
Then сервер возвращает тот же бизнес-результат без второго side effect
And другой payload с тем же key отклоняется как IDEMPOTENCY_KEY_REUSED"
AC-242,MOD-005,FR-032,[STATE-018] Удалённый объект: команда не применяется к trashed target и не создаёт новый объект,High,Lifecycle/integration,OpenAPI `POST_api_v1_tasks_id_archive`; Stage_3_Field_Traceability.csv,"Given target object был перемещён в Trash или удалён после загрузки
When выполняется `POST /api/v1/tasks/{id}/archive`
Then сервер возвращает OBJECT_DELETED/OBJECT_NOT_VISIBLE согласно текущим правам
And клиент не восстанавливает optimistic state и предлагает только разрешённый restore/open Trash"
AC-243,MOD-005,FR-033,Happy path: Заменить исполнителей,Critical,Contract/integration,OpenAPI `PUT_api_v1_tasks_id_assignees`; Stage_3_Field_Traceability.csv,"Given пользователь имеет `Task.Assign` и выполнены предусловия
When клиент отправляет `PUT /api/v1/tasks/{id}/assignees` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-244,MOD-005,FR-033,[STATE-008/STATE-009] Permission denied: Заменить исполнителей не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `PUT_api_v1_tasks_id_assignees`; Stage_3_Field_Traceability.csv,"Given пользователь аутентифицирован, но не имеет `Task.Assign` или требуемой relation
When клиент запрашивает `PUT /api/v1/tasks/{id}/assignees`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-245,MOD-005,FR-033,[STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `PUT_api_v1_tasks_id_assignees`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `PUT /api/v1/tasks/{id}/assignees`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-246,MOD-005,FR-033,[STATE-007] Validation: fieldErrors сохраняют draft и привязываются к canonical field path,High,Contract/UI,OpenAPI `PUT_api_v1_tasks_id_assignees`; Stage_3_Field_Traceability.csv,"Given пользователь заполнил payload для `PUT_api_v1_tasks_id_assignees` с нарушением DTO constraint
When сервер возвращает VALIDATION_FAILED с fieldErrors
Then draft сохраняется, ошибки связываются с canonical field paths и фокус переходит к первой ошибке"
AC-247,MOD-005,FR-033,[STATE-014/STATE-025] Conflict/precondition: устаревшая или отсутствующая If-Match не приводит к overwrite,Critical,Concurrency/integration,OpenAPI `PUT_api_v1_tasks_id_assignees`; Stage_3_Field_Traceability.csv,"Given серверное состояние изменилось после загрузки клиентом
When клиент отправляет `PUT /api/v1/tasks/{id}/assignees` с устаревшей If-Match
Then сервер отклоняет команду без overwrite
And клиент сохраняет draft и предлагает refresh/compare/reapply или безопасный повтор"
AC-248,MOD-005,FR-033,[STATE-010/STATE-011/STATE-012] Server unavailable/read-only: команда Заменить исполнителей не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `PUT_api_v1_tasks_id_assignees`; Stage_3_Field_Traceability.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Заменить исполнителей»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-249,MOD-005,FR-033,[STATE-020] Idempotency: повтор с тем же key/hash не создаёт двойной side effect,Critical,Integration,OpenAPI `PUT_api_v1_tasks_id_assignees`; Stage_3_Field_Traceability.csv,"Given первая команда `PUT_api_v1_tasks_id_assignees` уже принята с idempotency key и payload hash
When клиент безопасно повторяет тот же key и payload
Then сервер возвращает тот же бизнес-результат без второго side effect
And другой payload с тем же key отклоняется как IDEMPOTENCY_KEY_REUSED"
AC-250,MOD-005,FR-033,[STATE-018] Удалённый объект: команда не применяется к trashed target и не создаёт новый объект,High,Lifecycle/integration,OpenAPI `PUT_api_v1_tasks_id_assignees`; Stage_3_Field_Traceability.csv,"Given target object был перемещён в Trash или удалён после загрузки
When выполняется `PUT /api/v1/tasks/{id}/assignees`
Then сервер возвращает OBJECT_DELETED/OBJECT_NOT_VISIBLE согласно текущим правам
And клиент не восстанавливает optimistic state и предлагает только разрешённый restore/open Trash"
AC-251,MOD-005,FR-034,Happy path: Добавить зависимость,Critical,Contract/integration,OpenAPI `POST_api_v1_tasks_id_dependencies`; Stage_3_Field_Traceability.csv,"Given пользователь имеет `Task.Update` и выполнены предусловия
When клиент отправляет `POST /api/v1/tasks/{id}/dependencies` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-252,MOD-005,FR-034,[STATE-008/STATE-009] Permission denied: Добавить зависимость не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `POST_api_v1_tasks_id_dependencies`; Stage_3_Field_Traceability.csv,"Given пользователь аутентифицирован, но не имеет `Task.Update` или требуемой relation
When клиент запрашивает `POST /api/v1/tasks/{id}/dependencies`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-253,MOD-005,FR-034,[STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `POST_api_v1_tasks_id_dependencies`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `POST /api/v1/tasks/{id}/dependencies`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-254,MOD-005,FR-034,[STATE-007] Validation: fieldErrors сохраняют draft и привязываются к canonical field path,High,Contract/UI,OpenAPI `POST_api_v1_tasks_id_dependencies`; Stage_3_Field_Traceability.csv,"Given пользователь заполнил payload для `POST_api_v1_tasks_id_dependencies` с нарушением DTO constraint
When сервер возвращает VALIDATION_FAILED с fieldErrors
Then draft сохраняется, ошибки связываются с canonical field paths и фокус переходит к первой ошибке"
AC-255,MOD-005,FR-034,[STATE-014/STATE-025] Conflict/precondition: устаревшая или отсутствующая If-Match не приводит к overwrite,Critical,Concurrency/integration,OpenAPI `POST_api_v1_tasks_id_dependencies`; Stage_3_Field_Traceability.csv,"Given серверное состояние изменилось после загрузки клиентом
When клиент отправляет `POST /api/v1/tasks/{id}/dependencies` с устаревшей If-Match
Then сервер отклоняет команду без overwrite
And клиент сохраняет draft и предлагает refresh/compare/reapply или безопасный повтор"
AC-256,MOD-005,FR-034,[STATE-010/STATE-011/STATE-012] Server unavailable/read-only: команда Добавить зависимость не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `POST_api_v1_tasks_id_dependencies`; Stage_3_Field_Traceability.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Добавить зависимость»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-257,MOD-005,FR-034,[STATE-020] Idempotency: повтор с тем же key/hash не создаёт двойной side effect,Critical,Integration,OpenAPI `POST_api_v1_tasks_id_dependencies`; Stage_3_Field_Traceability.csv,"Given первая команда `POST_api_v1_tasks_id_dependencies` уже принята с idempotency key и payload hash
When клиент безопасно повторяет тот же key и payload
Then сервер возвращает тот же бизнес-результат без второго side effect
And другой payload с тем же key отклоняется как IDEMPOTENCY_KEY_REUSED"
AC-258,MOD-005,FR-034,[STATE-018] Удалённый объект: команда не применяется к trashed target и не создаёт новый объект,High,Lifecycle/integration,OpenAPI `POST_api_v1_tasks_id_dependencies`; Stage_3_Field_Traceability.csv,"Given target object был перемещён в Trash или удалён после загрузки
When выполняется `POST /api/v1/tasks/{id}/dependencies`
Then сервер возвращает OBJECT_DELETED/OBJECT_NOT_VISIBLE согласно текущим правам
And клиент не восстанавливает optimistic state и предлагает только разрешённый restore/open Trash"
AC-259,MOD-005,FR-035,Happy path: Удалить зависимость,Critical,Contract/integration,OpenAPI `DELETE_api_v1_tasks_id_dependencies_dependencyId`; Stage_3_Field_Traceability.csv,"Given пользователь имеет `Task.Update` и выполнены предусловия
When клиент отправляет `DELETE /api/v1/tasks/{id}/dependencies/{dependencyId}` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-260,MOD-005,FR-035,[STATE-008/STATE-009] Permission denied: Удалить зависимость не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `DELETE_api_v1_tasks_id_dependencies_dependencyId`; Stage_3_Field_Traceability.csv,"Given пользователь аутентифицирован, но не имеет `Task.Update` или требуемой relation
When клиент запрашивает `DELETE /api/v1/tasks/{id}/dependencies/{dependencyId}`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-261,MOD-005,FR-035,[STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `DELETE_api_v1_tasks_id_dependencies_dependencyId`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `DELETE /api/v1/tasks/{id}/dependencies/{dependencyId}`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-262,MOD-005,FR-035,[STATE-014/STATE-025] Conflict/precondition: устаревшая или отсутствующая If-Match не приводит к overwrite,Critical,Concurrency/integration,OpenAPI `DELETE_api_v1_tasks_id_dependencies_dependencyId`; Stage_3_Field_Traceability.csv,"Given серверное состояние изменилось после загрузки клиентом
When клиент отправляет `DELETE /api/v1/tasks/{id}/dependencies/{dependencyId}` с устаревшей If-Match
Then сервер отклоняет команду без overwrite
And клиент сохраняет draft и предлагает refresh/compare/reapply или безопасный повтор"
AC-263,MOD-005,FR-035,[STATE-010/STATE-011/STATE-012] Server unavailable/read-only: команда Удалить зависимость не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `DELETE_api_v1_tasks_id_dependencies_dependencyId`; Stage_3_Field_Traceability.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Удалить зависимость»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-264,MOD-005,FR-035,[STATE-018] Удалённый объект: команда не применяется к trashed target и не создаёт новый объект,High,Lifecycle/integration,OpenAPI `DELETE_api_v1_tasks_id_dependencies_dependencyId`; Stage_3_Field_Traceability.csv,"Given target object был перемещён в Trash или удалён после загрузки
When выполняется `DELETE /api/v1/tasks/{id}/dependencies/{dependencyId}`
Then сервер возвращает OBJECT_DELETED/OBJECT_NOT_VISIBLE согласно текущим правам
And клиент не восстанавливает optimistic state и предлагает только разрешённый restore/open Trash"
AC-265,MOD-005,FR-036,Happy path: Изменить дату/время/длительность,Critical,Contract/integration,OpenAPI `POST_api_v1_tasks_id_move`; Stage_3_Field_Traceability.csv,"Given пользователь имеет `Task.Update` и выполнены предусловия
When клиент отправляет `POST /api/v1/tasks/{id}/move` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-266,MOD-005,FR-036,[STATE-008/STATE-009] Permission denied: Изменить дату/время/длительность не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `POST_api_v1_tasks_id_move`; Stage_3_Field_Traceability.csv,"Given пользователь аутентифицирован, но не имеет `Task.Update` или требуемой relation
When клиент запрашивает `POST /api/v1/tasks/{id}/move`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-267,MOD-005,FR-036,[STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `POST_api_v1_tasks_id_move`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `POST /api/v1/tasks/{id}/move`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-268,MOD-005,FR-036,[STATE-007] Validation: fieldErrors сохраняют draft и привязываются к canonical field path,High,Contract/UI,OpenAPI `POST_api_v1_tasks_id_move`; Stage_3_Field_Traceability.csv,"Given пользователь заполнил payload для `POST_api_v1_tasks_id_move` с нарушением DTO constraint
When сервер возвращает VALIDATION_FAILED с fieldErrors
Then draft сохраняется, ошибки связываются с canonical field paths и фокус переходит к первой ошибке"
AC-269,MOD-005,FR-036,[STATE-014/STATE-025] Conflict/precondition: устаревшая или отсутствующая If-Match не приводит к overwrite,Critical,Concurrency/integration,OpenAPI `POST_api_v1_tasks_id_move`; Stage_3_Field_Traceability.csv,"Given серверное состояние изменилось после загрузки клиентом
When клиент отправляет `POST /api/v1/tasks/{id}/move` с устаревшей If-Match
Then сервер отклоняет команду без overwrite
And клиент сохраняет draft и предлагает refresh/compare/reapply или безопасный повтор"
AC-270,MOD-005,FR-036,[STATE-010/STATE-011/STATE-012] Server unavailable/read-only: команда Изменить дату/время/длительность не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `POST_api_v1_tasks_id_move`; Stage_3_Field_Traceability.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Изменить дату/время/длительность»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-271,MOD-005,FR-036,[STATE-020] Idempotency: повтор с тем же key/hash не создаёт двойной side effect,Critical,Integration,OpenAPI `POST_api_v1_tasks_id_move`; Stage_3_Field_Traceability.csv,"Given первая команда `POST_api_v1_tasks_id_move` уже принята с idempotency key и payload hash
When клиент безопасно повторяет тот же key и payload
Then сервер возвращает тот же бизнес-результат без второго side effect
And другой payload с тем же key отклоняется как IDEMPOTENCY_KEY_REUSED"
AC-272,MOD-005,FR-036,[STATE-018] Удалённый объект: команда не применяется к trashed target и не создаёт новый объект,High,Lifecycle/integration,OpenAPI `POST_api_v1_tasks_id_move`; Stage_3_Field_Traceability.csv,"Given target object был перемещён в Trash или удалён после загрузки
When выполняется `POST /api/v1/tasks/{id}/move`
Then сервер возвращает OBJECT_DELETED/OBJECT_NOT_VISIBLE согласно текущим правам
And клиент не восстанавливает optimistic state и предлагает только разрешённый restore/open Trash"
AC-273,MOD-005,FR-037,[STATE-018] Happy path: Восстановить задачу,Critical,Contract/integration,OpenAPI `POST_api_v1_tasks_id_restore`; Stage_3_Field_Traceability.csv,"Given пользователь имеет `Task.Restore` и выполнены предусловия
When клиент отправляет `POST /api/v1/tasks/{id}/restore` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-274,MOD-005,FR-037,[STATE-008/STATE-009/STATE-018] Permission denied: Восстановить задачу не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `POST_api_v1_tasks_id_restore`; Stage_3_Field_Traceability.csv,"Given пользователь аутентифицирован, но не имеет `Task.Restore` или требуемой relation
When клиент запрашивает `POST /api/v1/tasks/{id}/restore`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-275,MOD-005,FR-037,[STATE-018/STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `POST_api_v1_tasks_id_restore`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `POST /api/v1/tasks/{id}/restore`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-276,MOD-005,FR-037,[STATE-007/STATE-018] Validation: fieldErrors сохраняют draft и привязываются к canonical field path,High,Contract/UI,OpenAPI `POST_api_v1_tasks_id_restore`; Stage_3_Field_Traceability.csv,"Given пользователь заполнил payload для `POST_api_v1_tasks_id_restore` с нарушением DTO constraint
When сервер возвращает VALIDATION_FAILED с fieldErrors
Then draft сохраняется, ошибки связываются с canonical field paths и фокус переходит к первой ошибке"
AC-277,MOD-005,FR-037,[STATE-014/STATE-018/STATE-025] Conflict/precondition: устаревшая или отсутствующая If-Match не приводит к overwrite,Critical,Concurrency/integration,OpenAPI `POST_api_v1_tasks_id_restore`; Stage_3_Field_Traceability.csv,"Given серверное состояние изменилось после загрузки клиентом
When клиент отправляет `POST /api/v1/tasks/{id}/restore` с устаревшей If-Match
Then сервер отклоняет команду без overwrite
And клиент сохраняет draft и предлагает refresh/compare/reapply или безопасный повтор"
AC-278,MOD-005,FR-037,[STATE-010/STATE-011/STATE-012] Server unavailable/read-only: команда Восстановить задачу не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `POST_api_v1_tasks_id_restore`; Stage_3_Field_Traceability.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Восстановить задачу»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-279,MOD-005,FR-037,[STATE-018/STATE-020] Idempotency: повтор с тем же key/hash не создаёт двойной side effect,Critical,Integration,OpenAPI `POST_api_v1_tasks_id_restore`; Stage_3_Field_Traceability.csv,"Given первая команда `POST_api_v1_tasks_id_restore` уже принята с idempotency key и payload hash
When клиент безопасно повторяет тот же key и payload
Then сервер возвращает тот же бизнес-результат без второго side effect
And другой payload с тем же key отклоняется как IDEMPOTENCY_KEY_REUSED"
AC-280,MOD-005,FR-037,[STATE-018] Удалённый объект: команда не применяется к trashed target и не создаёт новый объект,High,Lifecycle/integration,OpenAPI `POST_api_v1_tasks_id_restore`; Stage_3_Field_Traceability.csv,"Given target object был перемещён в Trash или удалён после загрузки
When выполняется `POST /api/v1/tasks/{id}/restore`
Then сервер возвращает OBJECT_DELETED/OBJECT_NOT_VISIBLE согласно текущим правам
And клиент не восстанавливает optimistic state и предлагает только разрешённый restore/open Trash"
AC-281,MOD-005,FR-038,Happy path: Изменить статус задачи,Critical,Contract/integration,OpenAPI `POST_api_v1_tasks_id_transition`; Stage_3_Field_Traceability.csv,"Given пользователь имеет `Task.ChangeStatus` и выполнены предусловия
When клиент отправляет `POST /api/v1/tasks/{id}/transition` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-282,MOD-005,FR-038,[STATE-008/STATE-009] Permission denied: Изменить статус задачи не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `POST_api_v1_tasks_id_transition`; Stage_3_Field_Traceability.csv,"Given пользователь аутентифицирован, но не имеет `Task.ChangeStatus` или требуемой relation
When клиент запрашивает `POST /api/v1/tasks/{id}/transition`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-283,MOD-005,FR-038,[STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `POST_api_v1_tasks_id_transition`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `POST /api/v1/tasks/{id}/transition`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-284,MOD-005,FR-038,[STATE-007] Validation: fieldErrors сохраняют draft и привязываются к canonical field path,High,Contract/UI,OpenAPI `POST_api_v1_tasks_id_transition`; Stage_3_Field_Traceability.csv,"Given пользователь заполнил payload для `POST_api_v1_tasks_id_transition` с нарушением DTO constraint
When сервер возвращает VALIDATION_FAILED с fieldErrors
Then draft сохраняется, ошибки связываются с canonical field paths и фокус переходит к первой ошибке"
AC-285,MOD-005,FR-038,[STATE-014/STATE-025] Conflict/precondition: устаревшая или отсутствующая If-Match не приводит к overwrite,Critical,Concurrency/integration,OpenAPI `POST_api_v1_tasks_id_transition`; Stage_3_Field_Traceability.csv,"Given серверное состояние изменилось после загрузки клиентом
When клиент отправляет `POST /api/v1/tasks/{id}/transition` с устаревшей If-Match
Then сервер отклоняет команду без overwrite
And клиент сохраняет draft и предлагает refresh/compare/reapply или безопасный повтор"
AC-286,MOD-005,FR-038,[STATE-010/STATE-011/STATE-012] Server unavailable/read-only: команда Изменить статус задачи не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `POST_api_v1_tasks_id_transition`; Stage_3_Field_Traceability.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Изменить статус задачи»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-287,MOD-005,FR-038,[STATE-020] Idempotency: повтор с тем же key/hash не создаёт двойной side effect,Critical,Integration,OpenAPI `POST_api_v1_tasks_id_transition`; Stage_3_Field_Traceability.csv,"Given первая команда `POST_api_v1_tasks_id_transition` уже принята с idempotency key и payload hash
When клиент безопасно повторяет тот же key и payload
Then сервер возвращает тот же бизнес-результат без второго side effect
And другой payload с тем же key отклоняется как IDEMPOTENCY_KEY_REUSED"
AC-288,MOD-005,FR-038,[STATE-018] Удалённый объект: команда не применяется к trashed target и не создаёт новый объект,High,Lifecycle/integration,OpenAPI `POST_api_v1_tasks_id_transition`; Stage_3_Field_Traceability.csv,"Given target object был перемещён в Trash или удалён после загрузки
When выполняется `POST /api/v1/tasks/{id}/transition`
Then сервер возвращает OBJECT_DELETED/OBJECT_NOT_VISIBLE согласно текущим правам
And клиент не восстанавливает optimistic state и предлагает только разрешённый restore/open Trash"
AC-289,MOD-005,FR-039,[STATE-017] Happy path: Вернуть задачу из архива,Critical,Contract/integration,OpenAPI `POST_api_v1_tasks_id_unarchive`; Stage_3_Field_Traceability.csv,"Given пользователь имеет `Task.Archive` и выполнены предусловия
When клиент отправляет `POST /api/v1/tasks/{id}/unarchive` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-290,MOD-005,FR-039,[STATE-008/STATE-009/STATE-017] Permission denied: Вернуть задачу из архива не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `POST_api_v1_tasks_id_unarchive`; Stage_3_Field_Traceability.csv,"Given пользователь аутентифицирован, но не имеет `Task.Archive` или требуемой relation
When клиент запрашивает `POST /api/v1/tasks/{id}/unarchive`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-291,MOD-005,FR-039,[STATE-017/STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `POST_api_v1_tasks_id_unarchive`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `POST /api/v1/tasks/{id}/unarchive`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-292,MOD-005,FR-039,[STATE-014/STATE-017/STATE-025] Conflict/precondition: устаревшая или отсутствующая If-Match не приводит к overwrite,Critical,Concurrency/integration,OpenAPI `POST_api_v1_tasks_id_unarchive`; Stage_3_Field_Traceability.csv,"Given серверное состояние изменилось после загрузки клиентом
When клиент отправляет `POST /api/v1/tasks/{id}/unarchive` с устаревшей If-Match
Then сервер отклоняет команду без overwrite
And клиент сохраняет draft и предлагает refresh/compare/reapply или безопасный повтор"
AC-293,MOD-005,FR-039,[STATE-010/STATE-011/STATE-012] Server unavailable/read-only: команда Вернуть задачу из архива не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `POST_api_v1_tasks_id_unarchive`; Stage_3_Field_Traceability.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Вернуть задачу из архива»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-294,MOD-005,FR-039,[STATE-018] Удалённый объект: команда не применяется к trashed target и не создаёт новый объект,High,Lifecycle/integration,OpenAPI `POST_api_v1_tasks_id_unarchive`; Stage_3_Field_Traceability.csv,"Given target object был перемещён в Trash или удалён после загрузки
When выполняется `POST /api/v1/tasks/{id}/unarchive`
Then сервер возвращает OBJECT_DELETED/OBJECT_NOT_VISIBLE согласно текущим правам
And клиент не восстанавливает optimistic state и предлагает только разрешённый restore/open Trash"
